"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","SEX","INADEQUACY","Display Value","Numeric","Low","High","Comments"
"WSH_10_HYG","PUBLISHED","2016","AFR","GIN","YEARSALL","MLE","INADEQUATE_HYGIENE","544","543.98723","","",""
"WSH_10_HYG","PUBLISHED","2016","AMR","HND","YEARSALL","FMLE","INADEQUATE_HYGIENE","38","38.16221","","",""
"WSH_10_HYG","PUBLISHED","2016","AMR","JAM","YEARSALL","FMLE","INADEQUATE_HYGIENE","2","2.01946","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","KAZ","YEARSALL","FMLE","INADEQUATE_HYGIENE","15","14.83880","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","SSD","YEARSALL","MLE","INADEQUATE_HYGIENE","724","723.97160","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","SVK","YEARSALL","MLE","INADEQUATE_HYGIENE","1","0.94284","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","UZB","YEARSALL","FMLE","INADEQUATE_HYGIENE","37","37.33482","","",""
"WSH_10_HYG","PUBLISHED","2016","AMR","VCT","YEARSALL","BTSX","INADEQUATE_HYGIENE","0","0.33755","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","CYP","YEARSALL","FMLE","INADEQUATE_HYGIENE","2","1.57129","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","DZA","YEARSALL","MLE","INADEQUATE_HYGIENE","94","94.23923","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","GBR","YEARSALL","MLE","INADEQUATE_HYGIENE","47","46.99023","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","GNB","YEARSALL","MLE","INADEQUATE_HYGIENE","62","61.74823","","",""
"WSH_10_HYG","PUBLISHED","2016","AMR","GUY","YEARSALL","MLE","INADEQUATE_HYGIENE","3","3.31029","","",""
"WSH_10_HYG","PUBLISHED","2016","WPR","PHL","YEARSALL","BTSX","INADEQUATE_HYGIENE","1020","1019.65683","","",""
"WSH_10_HYG","PUBLISHED","2016","EMR","QAT","YEARSALL","FMLE","INADEQUATE_HYGIENE","0","0.08622","","",""
"WSH_10_HYG","PUBLISHED","2016","EMR","SOM","YEARSALL","MLE","INADEQUATE_HYGIENE","987","986.65207","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","SVK","YEARSALL","BTSX","INADEQUATE_HYGIENE","2","2.42529","","",""
"WSH_10_HYG","PUBLISHED","2016","AMR","CAN","YEARSALL","FMLE","INADEQUATE_HYGIENE","81","81.20663","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","CMR","YEARSALL","FMLE","INADEQUATE_HYGIENE","976","975.86761","","",""
"WSH_10_HYG","PUBLISHED","2016","WPR","FJI","YEARSALL","BTSX","INADEQUATE_HYGIENE","10","10.44943","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","GEO","YEARSALL","BTSX","INADEQUATE_HYGIENE","2","1.75660","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","NLD","YEARSALL","FMLE","INADEQUATE_HYGIENE","25","24.62559","","",""
"WSH_10_HYG","PUBLISHED","2016","AMR","PAN","YEARSALL","FMLE","INADEQUATE_HYGIENE","8","7.58073","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","RWA","YEARSALL","FMLE","INADEQUATE_HYGIENE","280","279.85547","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","SLE","YEARSALL","FMLE","INADEQUATE_HYGIENE","493","493.13930","","",""
