"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","SEX","INADEQUACY","Display Value","Numeric","Low","High","Comments"
"WSH_10_WAT","PUBLISHED","2016","AMR","ARG","YEARSALL","BTSX","INADEQUATE_WATER","109","109.48920","","",""
"WSH_10_WAT","PUBLISHED","2016","WPR","FSM","YEARSALL","FMLE","INADEQUATE_WATER","1","0.84270","","",""
"WSH_10_WAT","PUBLISHED","2016","AFR","GNB","YEARSALL","FMLE","INADEQUATE_WATER","173","173.41395","","",""
"WSH_10_WAT","PUBLISHED","2016","WPR","MYS","YEARSALL","BTSX","INADEQUATE_WATER","75","74.53976","","",""
"WSH_10_WAT","PUBLISHED","2016","SEAR","NPL","YEARSALL","FMLE","INADEQUATE_WATER","2107","2107.48226","","",""
"WSH_10_WAT","PUBLISHED","2016","WPR","VUT","YEARSALL","BTSX","INADEQUATE_WATER","16","16.32436","","",""
"WSH_10_WAT","PUBLISHED","2016","AMR","ARG","YEARSALL","FMLE","INADEQUATE_WATER","62","62.21007","","",""
"WSH_10_WAT","PUBLISHED","2016","AFR","BFA","YEARSALL","MLE","INADEQUATE_WATER","2424","2423.63685","","",""
"WSH_10_WAT","PUBLISHED","2016","AMR","HTI","YEARSALL","BTSX","INADEQUATE_WATER","1514","1514.46810","","",""
"WSH_10_WAT","PUBLISHED","2016","EMR","JOR","YEARSALL","BTSX","INADEQUATE_WATER","44","44.07600","","",""
"WSH_10_WAT","PUBLISHED","2016","AFR","RWA","YEARSALL","FMLE","INADEQUATE_WATER","640","640.41767","","",""
"WSH_10_WAT","PUBLISHED","2016","EMR","SOM","YEARSALL","FMLE","INADEQUATE_WATER","3701","3701.46982","","",""
"WSH_10_WAT","PUBLISHED","2016","AMR","ARG","YEARSALL","MLE","INADEQUATE_WATER","47","47.27913","","",""
"WSH_10_WAT","PUBLISHED","2016","AFR","BDI","YEARSALL","MLE","INADEQUATE_WATER","1952","1951.81664","","",""
"WSH_10_WAT","PUBLISHED","2016","AMR","GUY","YEARSALL","BTSX","INADEQUATE_WATER","20","20.07157","","",""
"WSH_10_WAT","PUBLISHED","2016","SEAR","IDN","YEARSALL","BTSX","INADEQUATE_WATER","3363","3363.00666","","",""
"WSH_10_WAT","PUBLISHED","2016","AMR","PRY","YEARSALL","MLE","INADEQUATE_WATER","31","31.29675","","",""
"WSH_10_WAT","PUBLISHED","2016","AMR","SLV","YEARSALL","FMLE","INADEQUATE_WATER","38","38.15929","","",""
"WSH_10_WAT","PUBLISHED","2016","AMR","DOM","YEARSALL","MLE","INADEQUATE_WATER","74","74.29340","","",""
"WSH_10_WAT","PUBLISHED","2016","WPR","FJI","YEARSALL","MLE","INADEQUATE_WATER","9","8.98351","","",""
"WSH_10_WAT","PUBLISHED","2016","EUR","MKD","YEARSALL","MLE","INADEQUATE_WATER","1","0.68950","","",""
"WSH_10_WAT","PUBLISHED","2016","WPR","MNG","YEARSALL","BTSX","INADEQUATE_WATER","12","11.96243","","",""
"WSH_10_WAT","PUBLISHED","2016","AFR","TZA","YEARSALL","FMLE","INADEQUATE_WATER","5771","5771.21020","","",""
"WSH_10_WAT","PUBLISHED","2016","WPR","VNM","YEARSALL","FMLE","INADEQUATE_WATER","44","43.59581","","",""
"WSH_10_WAT","PUBLISHED","2016","AFR","CMR","YEARSALL","FMLE","INADEQUATE_WATER","2954","2954.30837","","",""
"WSH_10_WAT","PUBLISHED","2016","AMR","CRI","YEARSALL","MLE","INADEQUATE_WATER","13","12.60252","","",""
"WSH_10_WAT","PUBLISHED","2016","SEAR","MDV","YEARSALL","MLE","INADEQUATE_WATER","1","0.64506","","",""
"WSH_10_WAT","PUBLISHED","2016","EUR","MNE","YEARSALL","MLE","INADEQUATE_WATER","0","0.06311","","",""
"WSH_10_WAT","PUBLISHED","2016","SEAR","TLS","YEARSALL","FMLE","INADEQUATE_WATER","14","14.20505","","",""
"WSH_10_WAT","PUBLISHED","2016","EUR","UKR","YEARSALL","FMLE","INADEQUATE_WATER","38","38.42111","","",""
"WSH_10_WAT","PUBLISHED","2016","AFR","BEN","YEARSALL","BTSX","INADEQUATE_WATER","3479","3478.88383","","",""
"WSH_10_WAT","PUBLISHED","2016","EUR","BGR","YEARSALL","BTSX","INADEQUATE_WATER","6","5.72206","","",""
"WSH_10_WAT","PUBLISHED","2016","EMR","IRN","YEARSALL","FMLE","INADEQUATE_WATER","272","271.66059","","",""
"WSH_10_WAT","PUBLISHED","2016","EMR","JOR","YEARSALL","FMLE","INADEQUATE_WATER","27","27.30152","","",""
"WSH_10_WAT","PUBLISHED","2016","AFR","RWA","YEARSALL","BTSX","INADEQUATE_WATER","1232","1231.78032","","",""
"WSH_10_WAT","PUBLISHED","2016","WPR","SLB","YEARSALL","BTSX","INADEQUATE_WATER","15","14.58833","","",""
"WSH_10_WAT","PUBLISHED","2016","AFR","AGO","YEARSALL","BTSX","INADEQUATE_WATER","8286","8286.36065","","",""
