"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","SEX","INADEQUACY","Display Value","Numeric","Low","High","Comments"
"WSH_30","PUBLISHED","2016","SEAR","BGD","YEARSALL","BTSX","INADEQUATE_WSH","855 637","855637.15930","","",""
"WSH_30","PUBLISHED","2016","EUR","BLR","YEARSALL","BTSX","INADEQUATE_WSH","2040","2039.86589","","",""
"WSH_30","PUBLISHED","2016","WPR","FSM","YEARSALL","FMLE","INADEQUATE_WSH","143","142.65707","","",""
"WSH_30","PUBLISHED","2016","AFR","GHA","YEARSALL","BTSX","INADEQUATE_WSH","327 219","327218.75430","","",""
"WSH_30","PUBLISHED","2016","EUR","MLT","YEARSALL","BTSX","INADEQUATE_WSH","5","5.16278","","",""
"WSH_30","PUBLISHED","2016","AFR","MRT","YEARSALL","BTSX","INADEQUATE_WSH","101 940","101940.09140","","",""
"WSH_30","PUBLISHED","2016","EUR","TJK","YEARSALL","BTSX","INADEQUATE_WSH","21 527","21526.88060","","",""
"WSH_30","PUBLISHED","2016","EMR","TUN","YEARSALL","BTSX","INADEQUATE_WSH","8665","8665.45727","","",""
"WSH_30","PUBLISHED","2016","EUR","AZE","YEARSALL","FMLE","INADEQUATE_WSH","5571","5571.16091","","",""
"WSH_30","PUBLISHED","2016","AFR","BDI","YEARSALL","BTSX","INADEQUATE_WSH","419 210","419210.40020","","",""
"WSH_30","PUBLISHED","2016","EUR","DEU","YEARSALL","MLE","INADEQUATE_WSH","3557","3556.83485","","",""
"WSH_30","PUBLISHED","2016","EUR","EST","YEARSALL","BTSX","INADEQUATE_WSH","130","130.11270","","",""
"WSH_30","PUBLISHED","2016","EMR","KWT","YEARSALL","MLE","INADEQUATE_WSH","171","170.78740","","",""
"WSH_30","PUBLISHED","2016","EMR","LBN","YEARSALL","FMLE","INADEQUATE_WSH","2098","2097.89997","","",""
"WSH_30","PUBLISHED","2016","EMR","SAU","YEARSALL","BTSX","INADEQUATE_WSH","3246","3245.86368","","",""
"WSH_30","PUBLISHED","2016","WPR","SLB","YEARSALL","FMLE","INADEQUATE_WSH","1089","1089.04553","","",""
"WSH_30","PUBLISHED","2016","WPR","WSM","YEARSALL","MLE","INADEQUATE_WSH","149","148.94545","","",""
"WSH_30","PUBLISHED","2016","AFR","BEN","YEARSALL","MLE","INADEQUATE_WSH","237 407","237406.86280","","",""
"WSH_30","PUBLISHED","2016","AMR","BRA","YEARSALL","FMLE","INADEQUATE_WSH","105 184","105183.80230","","",""
"WSH_30","PUBLISHED","2016","AMR","BRA","YEARSALL","BTSX","INADEQUATE_WSH","208 756","208756.25170","","",""
"WSH_30","PUBLISHED","2016","EUR","FIN","YEARSALL","MLE","INADEQUATE_WSH","102","102.08423","","",""
"WSH_30","PUBLISHED","2016","EUR","GBR","YEARSALL","BTSX","INADEQUATE_WSH","3047","3046.88964","","",""
"WSH_30","PUBLISHED","2016","EUR","MKD","YEARSALL","MLE","INADEQUATE_WSH","296","296.08374","","",""
"WSH_30","PUBLISHED","2016","EUR","MNE","YEARSALL","BTSX","INADEQUATE_WSH","91","91.32258","","",""
"WSH_30","PUBLISHED","2016","EUR","SVN","YEARSALL","MLE","INADEQUATE_WSH","62","61.93729","","",""
"WSH_30","PUBLISHED","2016","EMR","SYR","YEARSALL","BTSX","INADEQUATE_WSH","67 230","67229.55291","","",""
"WSH_30","PUBLISHED","2016","EMR","ARE","YEARSALL","MLE","INADEQUATE_WSH","481","480.93082","","",""
"WSH_30","PUBLISHED","2016","EMR","ARE","YEARSALL","BTSX","INADEQUATE_WSH","760","760.31060","","",""
"WSH_30","PUBLISHED","2016","EUR","CYP","YEARSALL","BTSX","INADEQUATE_WSH","64","63.88015","","",""
"WSH_30","PUBLISHED","2016","AFR","ERI","YEARSALL","BTSX","INADEQUATE_WSH","113 961","113960.56780","","",""
"WSH_30","PUBLISHED","2016","WPR","JPN","YEARSALL","BTSX","INADEQUATE_WSH","3853","3852.85708","","",""
"WSH_30","PUBLISHED","2016","WPR","KIR","YEARSALL","BTSX","INADEQUATE_WSH","1051","1050.70857","","",""
"WSH_30","PUBLISHED","2016","EUR","PRT","YEARSALL","MLE","INADEQUATE_WSH","137","137.03759","","",""
"WSH_30","PUBLISHED","2016","EUR","PRT","YEARSALL","BTSX","INADEQUATE_WSH","337","336.80163","","",""
"WSH_30","PUBLISHED","2016","AMR","URY","YEARSALL","MLE","INADEQUATE_WSH","116","116.39247","","",""
"WSH_30","PUBLISHED","2016","WPR","VUT","YEARSALL","FMLE","INADEQUATE_WSH","818","817.97941","","",""
"WSH_30","PUBLISHED","2016","AMR","CAN","YEARSALL","MLE","INADEQUATE_WSH","933","933.44505","","",""
"WSH_30","PUBLISHED","2016","AFR","COM","YEARSALL","BTSX","INADEQUATE_WSH","22 103","22103.28624","","",""
"WSH_30","PUBLISHED","2016","EUR","HRV","YEARSALL","FMLE","INADEQUATE_WSH","156","156.49718","","",""
"WSH_30","PUBLISHED","2016","SEAR","IND","YEARSALL","BTSX","INADEQUATE_WSH","11 731 606","11731606.10000","","",""
"WSH_30","PUBLISHED","2016","EUR","NOR","YEARSALL","MLE","INADEQUATE_WSH","114","114.27642","","",""
"WSH_30","PUBLISHED","2016","EMR","OMN","YEARSALL","BTSX","INADEQUATE_WSH","495","494.90746","","",""
"WSH_30","PUBLISHED","2016","WPR","TON","YEARSALL","MLE","INADEQUATE_WSH","52","51.92042","","",""
"WSH_30","PUBLISHED","2016","AFR","UGA","YEARSALL","MLE","INADEQUATE_WSH","464 307","464306.86550","","",""
"WSH_30","PUBLISHED","2016","EUR","CHE","YEARSALL","MLE","INADEQUATE_WSH","164","163.98429","","",""
"WSH_30","PUBLISHED","2016","AFR","CIV","YEARSALL","BTSX","INADEQUATE_WSH","739 311","739310.85240","","",""
"WSH_30","PUBLISHED","2016","EUR","GRC","YEARSALL","FMLE","INADEQUATE_WSH","129","129.24453","","",""
"WSH_30","PUBLISHED","2016","AMR","GTM","YEARSALL","BTSX","INADEQUATE_WSH","64 421","64420.65683","","",""
"WSH_30","PUBLISHED","2016","EMR","IRN","YEARSALL","MLE","INADEQUATE_WSH","44 838","44837.76930","","",""
"WSH_30","PUBLISHED","2016","AFR","MLI","YEARSALL","BTSX","INADEQUATE_WSH","767 504","767504.07330","","",""
"WSH_30","PUBLISHED","2016","EUR","MNE","YEARSALL","MLE","INADEQUATE_WSH","48","47.94705","","",""
"WSH_30","PUBLISHED","2016","AFR","TGO","YEARSALL","FMLE","INADEQUATE_WSH","92 803","92803.06452","","",""
"WSH_30","PUBLISHED","2016","SEAR","TLS","YEARSALL","MLE","INADEQUATE_WSH","5418","5417.59205","","",""
"WSH_30","PUBLISHED","2016","EUR","BIH","YEARSALL","MLE","INADEQUATE_WSH","438","437.99927","","",""
"WSH_30","PUBLISHED","2016","EUR","BIH","YEARSALL","BTSX","INADEQUATE_WSH","841","841.47376","","",""
"WSH_30","PUBLISHED","2016","WPR","FSM","YEARSALL","BTSX","INADEQUATE_WSH","304","304.26017","","",""
"WSH_30","PUBLISHED","2016","AFR","GHA","YEARSALL","FMLE","INADEQUATE_WSH","163 215","163214.77230","","",""
"WSH_30","PUBLISHED","2016","EMR","MAR","YEARSALL","MLE","INADEQUATE_WSH","28 170","28169.80227","","",""
"WSH_30","PUBLISHED","2016","EUR","MDA","YEARSALL","FMLE","INADEQUATE_WSH","507","507.46694","","",""
"WSH_30","PUBLISHED","2016","EUR","SVK","YEARSALL","MLE","INADEQUATE_WSH","192","192.01052","","",""
"WSH_30","PUBLISHED","2016","EUR","SVN","YEARSALL","BTSX","INADEQUATE_WSH","127","126.56396","","",""
"WSH_30","PUBLISHED","2016","AFR","COG","YEARSALL","FMLE","INADEQUATE_WSH","42 288","42287.84578","","",""
"WSH_30","PUBLISHED","2016","EUR","CZE","YEARSALL","MLE","INADEQUATE_WSH","445","445.17414","","",""
"WSH_30","PUBLISHED","2016","SEAR","IND","YEARSALL","MLE","INADEQUATE_WSH","5 313 367","5313366.74800","","",""
"WSH_30","PUBLISHED","2016","EMR","IRN","YEARSALL","FMLE","INADEQUATE_WSH","46 577","46577.02831","","",""
"WSH_30","PUBLISHED","2016","AFR","NER","YEARSALL","BTSX","INADEQUATE_WSH","938 916","938916.36180","","",""
"WSH_30","PUBLISHED","2016","WPR","NZL","YEARSALL","FMLE","INADEQUATE_WSH","97","97.23568","","",""
"WSH_30","PUBLISHED","2016","AFR","UGA","YEARSALL","FMLE","INADEQUATE_WSH","397 353","397352.93610","","",""
"WSH_30","PUBLISHED","2016","EUR","UKR","YEARSALL","MLE","INADEQUATE_WSH","11 184","11184.47703","","",""
"WSH_30","PUBLISHED","2016","AMR","DOM","YEARSALL","MLE","INADEQUATE_WSH","9382","9381.52717","","",""
"WSH_30","PUBLISHED","2016","EUR","ESP","YEARSALL","BTSX","INADEQUATE_WSH","1515","1515.34452","","",""
"WSH_30","PUBLISHED","2016","EUR","HUN","YEARSALL","MLE","INADEQUATE_WSH","424","424.08697","","",""
"WSH_30","PUBLISHED","2016","EMR","IRQ","YEARSALL","BTSX","INADEQUATE_WSH","114 169","114169.00550","","",""
"WSH_30","PUBLISHED","2016","AFR","SLE","YEARSALL","BTSX","INADEQUATE_WSH","356 254","356253.80740","","",""
"WSH_30","PUBLISHED","2016","AFR","STP","YEARSALL","FMLE","INADEQUATE_WSH","833","832.81444","","",""
"WSH_30","PUBLISHED","2016","EUR","UKR","YEARSALL","BTSX","INADEQUATE_WSH","20 503","20503.29989","","",""
"WSH_30","PUBLISHED","2016","WPR","VNM","YEARSALL","FMLE","INADEQUATE_WSH","24 594","24593.74122","","",""
"WSH_30","PUBLISHED","2016","AFR","COG","YEARSALL","BTSX","INADEQUATE_WSH","100 255","100254.67830","","",""
"WSH_30","PUBLISHED","2016","AMR","CRI","YEARSALL","FMLE","INADEQUATE_WSH","1571","1571.45466","","",""
"WSH_30","PUBLISHED","2016","WPR","FJI","YEARSALL","MLE","INADEQUATE_WSH","849","849.47238","","",""
"WSH_30","PUBLISHED","2016","AFR","GHA","YEARSALL","MLE","INADEQUATE_WSH","164 004","164003.98200","","",""
"WSH_30","PUBLISHED","2016","EUR","NOR","YEARSALL","BTSX","INADEQUATE_WSH","237","237.05538","","",""
"WSH_30","PUBLISHED","2016","AMR","PAN","YEARSALL","BTSX","INADEQUATE_WSH","6446","6446.10482","","",""
"WSH_30","PUBLISHED","2016","EUR","SRB","YEARSALL","MLE","INADEQUATE_WSH","1523","1522.56928","","",""
"WSH_30","PUBLISHED","2016","EUR","SWE","YEARSALL","MLE","INADEQUATE_WSH","218","218.42745","","",""
"WSH_30","PUBLISHED","2016","EUR","ARM","YEARSALL","BTSX","INADEQUATE_WSH","1321","1320.81340","","",""
"WSH_30","PUBLISHED","2016","EUR","BEL","YEARSALL","BTSX","INADEQUATE_WSH","693","693.20103","","",""
"WSH_30","PUBLISHED","2016","AMR","CAN","YEARSALL","BTSX","INADEQUATE_WSH","2166","2166.44953","","",""
"WSH_30","PUBLISHED","2016","AFR","CMR","YEARSALL","FMLE","INADEQUATE_WSH","327 906","327906.37880","","",""
"WSH_30","PUBLISHED","2016","WPR","LAO","YEARSALL","FMLE","INADEQUATE_WSH","24 845","24844.74825","","",""
"WSH_30","PUBLISHED","2016","AFR","LSO","YEARSALL","MLE","INADEQUATE_WSH","24 556","24555.80679","","",""
"WSH_30","PUBLISHED","2016","WPR","MYS","YEARSALL","FMLE","INADEQUATE_WSH","6370","6369.58007","","",""
"WSH_30","PUBLISHED","2016","EUR","NLD","YEARSALL","FMLE","INADEQUATE_WSH","568","568.28045","","",""
"WSH_30","PUBLISHED","2016","EMR","YEM","YEARSALL","MLE","INADEQUATE_WSH","111 337","111337.20060","","",""
"WSH_30","PUBLISHED","2016","EUR","AUT","YEARSALL","BTSX","INADEQUATE_WSH","360","360.35629","","",""
"WSH_30","PUBLISHED","2016","SEAR","BGD","YEARSALL","FMLE","INADEQUATE_WSH","478 366","478365.85270","","",""
"WSH_30","PUBLISHED","2016","EMR","IRQ","YEARSALL","FMLE","INADEQUATE_WSH","43 317","43316.55429","","",""
"WSH_30","PUBLISHED","2016","EUR","ISL","YEARSALL","BTSX","INADEQUATE_WSH","11","10.70022","","",""
"WSH_30","PUBLISHED","2016","EUR","LUX","YEARSALL","BTSX","INADEQUATE_WSH","16","15.76641","","",""
"WSH_30","PUBLISHED","2016","SEAR","MDV","YEARSALL","FMLE","INADEQUATE_WSH","67","67.36681","","",""
"WSH_30","PUBLISHED","2016","EUR","TJK","YEARSALL","FMLE","INADEQUATE_WSH","9611","9611.39854","","",""
"WSH_30","PUBLISHED","2016","EUR","TUR","YEARSALL","MLE","INADEQUATE_WSH","17 292","17291.59088","","",""
"WSH_30","PUBLISHED","2016","AFR","ZWE","YEARSALL","FMLE","INADEQUATE_WSH","118 958","118957.85190","","",""
"WSH_30","PUBLISHED","2016","AFR","AGO","YEARSALL","BTSX","INADEQUATE_WSH","984 781","984780.83210","","",""
"WSH_30","PUBLISHED","2016","AFR","GNQ","YEARSALL","MLE","INADEQUATE_WSH","9489","9488.56444","","",""
"WSH_30","PUBLISHED","2016","AMR","HND","YEARSALL","MLE","INADEQUATE_WSH","10 242","10241.68906","","",""
"WSH_30","PUBLISHED","2016","AFR","KEN","YEARSALL","BTSX","INADEQUATE_WSH","1 205 099","1205099.37700","","",""
"WSH_30","PUBLISHED","2016","WPR","KHM","YEARSALL","MLE","INADEQUATE_WSH","37 190","37190.08175","","",""
"WSH_30","PUBLISHED","2016","EUR","SVN","YEARSALL","FMLE","INADEQUATE_WSH","65","64.62668","","",""
"WSH_30","PUBLISHED","2016","AFR","TCD","YEARSALL","FMLE","INADEQUATE_WSH","475 594","475593.96990","","",""
"WSH_30","PUBLISHED","2016","EUR","UZB","YEARSALL","BTSX","INADEQUATE_WSH","14 853","14852.94751","","",""
"WSH_30","PUBLISHED","2016","EMR","YEM","YEARSALL","BTSX","INADEQUATE_WSH","258 601","258600.80950","","",""
"WSH_30","PUBLISHED","2016","WPR","FJI","YEARSALL","BTSX","INADEQUATE_WSH","1394","1394.12280","","",""
"WSH_30","PUBLISHED","2016","EUR","GEO","YEARSALL","FMLE","INADEQUATE_WSH","691","691.13076","","",""
"WSH_30","PUBLISHED","2016","EUR","ISR","YEARSALL","BTSX","INADEQUATE_WSH","423","422.84522","","",""
"WSH_30","PUBLISHED","2016","EUR","KAZ","YEARSALL","FMLE","INADEQUATE_WSH","4639","4639.07594","","",""
"WSH_30","PUBLISHED","2016","EMR","SDN","YEARSALL","FMLE","INADEQUATE_WSH","285 350","285349.58240","","",""
"WSH_30","PUBLISHED","2016","EUR","SRB","YEARSALL","BTSX","INADEQUATE_WSH","3199","3198.78563","","",""
"WSH_30","PUBLISHED","2016","EUR","TUR","YEARSALL","BTSX","INADEQUATE_WSH","35 211","35210.86438","","",""
"WSH_30","PUBLISHED","2016","AMR","USA","YEARSALL","BTSX","INADEQUATE_WSH","20 835","20834.66565","","",""
"WSH_30","PUBLISHED","2016","AFR","DZA","YEARSALL","BTSX","INADEQUATE_WSH","72 917","72916.60129","","",""
"WSH_30","PUBLISHED","2016","AFR","ERI","YEARSALL","MLE","INADEQUATE_WSH","60 761","60760.60353","","",""
"WSH_30","PUBLISHED","2016","AMR","GUY","YEARSALL","MLE","INADEQUATE_WSH","1049","1049.04338","","",""
"WSH_30","PUBLISHED","2016","AMR","HTI","YEARSALL","MLE","INADEQUATE_WSH","96 029","96028.95070","","",""
"WSH_30","PUBLISHED","2016","SEAR","PRK","YEARSALL","FMLE","INADEQUATE_WSH","11 565","11564.89819","","",""
"WSH_30","PUBLISHED","2016","EMR","SDN","YEARSALL","BTSX","INADEQUATE_WSH","551 580","551580.06400","","",""
