"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","SEX","INADEQUACY","Display Value","Numeric","Low","High","Comments"
"WSH_30_SAN","PUBLISHED","2016","EUR","AZE","YEARSALL","MLE","INADEQUATE_SANITATION","1739","1738.55194","","",""
"WSH_30_SAN","PUBLISHED","2016","SEAR","BGD","YEARSALL","MLE","INADEQUATE_SANITATION","183 906","183905.51200","","",""
"WSH_30_SAN","PUBLISHED","2016","SEAR","BGD","YEARSALL","BTSX","INADEQUATE_SANITATION","417 091","417090.79690","","",""
"WSH_30_SAN","PUBLISHED","2016","EUR","BLR","YEARSALL","BTSX","INADEQUATE_SANITATION","166","165.56001","","",""
"WSH_30_SAN","PUBLISHED","2016","AMR","BLZ","YEARSALL","FMLE","INADEQUATE_SANITATION","25","24.58569","","",""
"WSH_30_SAN","PUBLISHED","2016","SEAR","BTN","YEARSALL","FMLE","INADEQUATE_SANITATION","890","890.15944","","",""
"WSH_30_SAN","PUBLISHED","2016","AFR","BWA","YEARSALL","MLE","INADEQUATE_SANITATION","2907","2906.91790","","",""
"WSH_30_SAN","PUBLISHED","2016","WPR","CHN","YEARSALL","MLE","INADEQUATE_SANITATION","76 857","76857.05200","","",""
"WSH_30_SAN","PUBLISHED","2016","AMR","CUB","YEARSALL","BTSX","INADEQUATE_SANITATION","939","938.90345","","",""
"WSH_30_SAN","PUBLISHED","2016","AMR","DOM","YEARSALL","MLE","INADEQUATE_SANITATION","2340","2340.45510","","",""
"WSH_30_SAN","PUBLISHED","2016","WPR","FSM","YEARSALL","FMLE","INADEQUATE_SANITATION","66","66.48555","","",""
"WSH_30_SAN","PUBLISHED","2016","AFR","GHA","YEARSALL","BTSX","INADEQUATE_SANITATION","194 133","194132.93810","","",""
"WSH_30_SAN","PUBLISHED","2016","AFR","GIN","YEARSALL","FMLE","INADEQUATE_SANITATION","84 914","84913.76414","","",""
"WSH_30_SAN","PUBLISHED","2016","AFR","GMB","YEARSALL","MLE","INADEQUATE_SANITATION","10 336","10335.66050","","",""
