"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"WSH_6","PUBLISHED","2004","EMR","","AFG","2139966","2139965.50000","","",""
"WSH_6","PUBLISHED","2004","EUR","","ALB","4284","4284.32000","","",""
"WSH_6","PUBLISHED","2004","AFR","","DZA","114938","114937.85000","","",""
"WSH_6","PUBLISHED","2004","EUR","","AND","3","3.28000","","",""
"WSH_6","PUBLISHED","2004","AFR","","AGO","1308451","1308451.44000","","",""
"WSH_6","PUBLISHED","2004","AMR","","ATG","22","21.81000","","",""
"WSH_6","PUBLISHED","2004","AMR","","ARG","12800","12800.22000","","",""
"WSH_6","PUBLISHED","2004","EUR","","ARM","4849","4848.62000","","",""
"WSH_6","PUBLISHED","2004","WPR","","AUS","1097","1097.49000","","",""
"WSH_6","PUBLISHED","2004","EUR","","AUT","346","346.14000","","",""
"WSH_6","PUBLISHED","2004","EUR","","AZE","61291","61290.69000","","",""
"WSH_6","PUBLISHED","2004","AMR","","BHS","94","94.08000","","",""
"WSH_6","PUBLISHED","2004","SEAR","","BGD","2061105","2061105.31000","","",""
"WSH_6","PUBLISHED","2004","AMR","","BRB","33","33.22000","","",""
"WSH_6","PUBLISHED","2004","EUR","","BLR","859","859.00000","","",""
"WSH_6","PUBLISHED","2004","EUR","","BEL","524","523.51000","","",""
"WSH_6","PUBLISHED","2004","AMR","","BLZ","424","423.65000","","",""
"WSH_6","PUBLISHED","2004","AFR","","BEN","235888","235888.41000","","",""
"WSH_6","PUBLISHED","2004","SEAR","","BTN","8168","8167.96000","","",""
"WSH_6","PUBLISHED","2004","AMR","","BOL","105775","105774.64000","","",""
"WSH_6","PUBLISHED","2004","EUR","","BIH","430","429.55000","","",""
"WSH_6","PUBLISHED","2004","AFR","","BWA","25880","25880.40000","","",""
"WSH_6","PUBLISHED","2004","AMR","","BRA","766324","766323.63000","","",""
"WSH_6","PUBLISHED","2004","EUR","","BGR","644","644.37000","","",""
"WSH_6","PUBLISHED","2004","AFR","","BFA","664022","664021.66000","","",""
"WSH_6","PUBLISHED","2004","AFR","","BDI","403464","403463.77000","","",""
"WSH_6","PUBLISHED","2004","WPR","","KHM","327601","327600.69000","","",""
"WSH_6","PUBLISHED","2004","AFR","","CMR","479153","479153.28000","","",""
"WSH_6","PUBLISHED","2004","AMR","","CAN","1573","1572.64000","","",""
"WSH_6","PUBLISHED","2004","AFR","","CPV","2153","2153.48000","","",""
"WSH_6","PUBLISHED","2004","AFR","","CAF","115396","115395.71000","","",""
"WSH_6","PUBLISHED","2004","AFR","","TCD","387567","387566.84000","","",""
"WSH_6","PUBLISHED","2004","AMR","","CHL","3721","3721.29000","","",""
"WSH_6","PUBLISHED","2004","WPR","","CHN","1800455","1800454.56000","","",""
"WSH_6","PUBLISHED","2004","AMR","","COL","62385","62384.91000","","",""
"WSH_6","PUBLISHED","2004","AFR","","COM","5720","5720.17000","","",""
"WSH_6","PUBLISHED","2004","AFR","","COG","40840","40840.13000","","",""
"WSH_6","PUBLISHED","2004","WPR","","COK","24","23.74000","","",""
"WSH_6","PUBLISHED","2004","AMR","","CRI","1627","1626.52000","","",""
"WSH_6","PUBLISHED","2004","AFR","","CIV","580373","580372.98000","","",""
"WSH_6","PUBLISHED","2004","EUR","","HRV","183","183.15000","","",""
"WSH_6","PUBLISHED","2004","AMR","","CUB","2190","2189.51000","","",""
"WSH_6","PUBLISHED","2004","EUR","","CYP","313","312.92000","","",""
"WSH_6","PUBLISHED","2004","EUR","","CZE","499","499.13000","","",""
"WSH_6","PUBLISHED","2004","SEAR","","PRK","144470","144469.59000","","",""
"WSH_6","PUBLISHED","2004","AFR","WB_LI","COD","3011743","3011743.13000","","",""
"WSH_6","PUBLISHED","2004","EUR","","DNK","375","374.87000","","",""
"WSH_6","PUBLISHED","2004","EMR","","DJI","16683","16682.83000","","",""
"WSH_6","PUBLISHED","2004","AMR","","DMA","18","18.16000","","",""
"WSH_6","PUBLISHED","2004","AMR","","DOM","29059","29058.53000","","",""
"WSH_6","PUBLISHED","2004","AMR","","ECU","34040","34040.11000","","",""
"WSH_6","PUBLISHED","2004","EMR","","EGY","288944","288943.80000","","",""
"WSH_6","PUBLISHED","2004","AMR","","SLV","20075","20075.09000","","",""
"WSH_6","PUBLISHED","2004","AFR","","GNQ","16837","16837.22000","","",""
"WSH_6","PUBLISHED","2004","AFR","","ERI","93881","93880.70000","","",""
"WSH_6","PUBLISHED","2004","EUR","","EST","102","101.94000","","",""
"WSH_6","PUBLISHED","2004","AFR","","ETH","3022045","3022045.13000","","",""
"WSH_6","PUBLISHED","2004","WPR","","FJI","609","609.44000","","",""
"WSH_6","PUBLISHED","2004","EUR","","FIN","248","247.82000","","",""
"WSH_6","PUBLISHED","2004","AFR","","GAB","6879","6878.51000","","",""
"WSH_6","PUBLISHED","2004","AFR","","GMB","25114","25114.23000","","",""
"WSH_6","PUBLISHED","2004","EUR","","GEO","13713","13713.35000","","",""
"WSH_6","PUBLISHED","2004","EUR","","DEU","3419","3419.17000","","",""
"WSH_6","PUBLISHED","2004","AFR","","GHA","256261","256261.28000","","",""
"WSH_6","PUBLISHED","2004","AMR","","GRD","47","47.28000","","",""
"WSH_6","PUBLISHED","2004","AMR","","GTM","91822","91821.64000","","",""
"WSH_6","PUBLISHED","2004","AFR","","GIN","255264","255263.71000","","",""
"WSH_6","PUBLISHED","2004","AFR","","GNB","74214","74214.25000","","",""
"WSH_6","PUBLISHED","2004","AMR","","GUY","3818","3817.81000","","",""
"WSH_6","PUBLISHED","2004","AMR","","HTI","185575","185575.38000","","",""
"WSH_6","PUBLISHED","2004","AMR","","HND","36422","36421.94000","","",""
"WSH_6","PUBLISHED","2004","EUR","","HUN","822","822.28000","","",""
"WSH_6","PUBLISHED","2004","EUR","","ISL","18","18.11000","","",""
"WSH_6","PUBLISHED","2004","SEAR","","IND","14210426","14210426.00000","","",""
"WSH_6","PUBLISHED","2004","SEAR","","IDN","978230","978230.28000","","",""
"WSH_6","PUBLISHED","2004","EMR","","IRQ","567672","567671.56000","","",""
"WSH_6","PUBLISHED","2004","AMR","","JAM","4966","4966.44000","","",""
"WSH_6","PUBLISHED","2004","WPR","","JPN","5685","5684.88000","","",""
"WSH_6","PUBLISHED","2004","EMR","","JOR","15875","15875.23000","","",""
"WSH_6","PUBLISHED","2004","EUR","","KAZ","97988","97988.00000","","",""
"WSH_6","PUBLISHED","2004","AFR","","KEN","733702","733702.03000","","",""
"WSH_6","PUBLISHED","2004","WPR","","KIR","710","709.64000","","",""
"WSH_6","PUBLISHED","2004","EUR","","KGZ","42705","42704.96000","","",""
"WSH_6","PUBLISHED","2004","WPR","","LAO","65015","65014.56000","","",""
"WSH_6","PUBLISHED","2004","EUR","","LVA","158","157.88000","","",""
"WSH_6","PUBLISHED","2004","EMR","","LBN","5399","5398.68000","","",""
"WSH_6","PUBLISHED","2004","AFR","","LSO","5035","5034.83000","","",""
"WSH_6","PUBLISHED","2004","AFR","","LBR","166895","166895.17000","","",""
"WSH_6","PUBLISHED","2004","EUR","","LUX","40","39.64000","","",""
"WSH_6","PUBLISHED","2004","AFR","","MDG","547959","547958.77000","","",""
"WSH_6","PUBLISHED","2004","AFR","","MWI","517880","517879.98000","","",""
"WSH_6","PUBLISHED","2004","WPR","","MYS","37071","37071.45000","","",""
"WSH_6","PUBLISHED","2004","SEAR","","MDV","1632","1632.29000","","",""
"WSH_6","PUBLISHED","2004","AFR","","MLI","614756","614756.09000","","",""
"WSH_6","PUBLISHED","2004","WPR","","MHL","424","424.25000","","",""
