"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","Display Value","Numeric","Low","High","Comments"
"WSH_HYGIENE_BASIC","PUBLISHED","2005","EMR","AFG","RUR","29","29.01855","","",""
"WSH_HYGIENE_BASIC","PUBLISHED","2005","EMR","AFG","TOTL","37","36.86568","","",""
"WSH_HYGIENE_BASIC","PUBLISHED","2005","EMR","AFG","URB","64","63.58285","","",""
"WSH_HYGIENE_BASIC","PUBLISHED","2006","EMR","AFG","RUR","29","29.01855","","",""
"WSH_HYGIENE_BASIC","PUBLISHED","2006","EMR","AFG","TOTL","37","36.93619","","",""
"WSH_HYGIENE_BASIC","PUBLISHED","2006","EMR","AFG","URB","64","63.58285","","",""
"WSH_HYGIENE_BASIC","PUBLISHED","2007","EMR","AFG","RUR","29","29.01855","","",""
"WSH_HYGIENE_BASIC","PUBLISHED","2007","EMR","AFG","TOTL","37","37.00739","","",""
"WSH_HYGIENE_BASIC","PUBLISHED","2007","EMR","AFG","URB","64","63.58285","","",""
"WSH_HYGIENE_BASIC","PUBLISHED","2008","EMR","AFG","RUR","29","29.01855","","",""
"WSH_HYGIENE_BASIC","PUBLISHED","2008","EMR","AFG","TOTL","37","37.07894","","",""
"WSH_HYGIENE_BASIC","PUBLISHED","2008","EMR","AFG","URB","64","63.58285","","",""
"WSH_HYGIENE_BASIC","PUBLISHED","2009","EMR","AFG","RUR","29","29.01855","","",""
"WSH_HYGIENE_BASIC","PUBLISHED","2009","EMR","AFG","TOTL","37","37.15083","","",""
"WSH_HYGIENE_BASIC","PUBLISHED","2009","EMR","AFG","URB","64","63.58285","","",""
"WSH_HYGIENE_BASIC","PUBLISHED","2010","EMR","AFG","RUR","29","29.01855","","",""
"WSH_HYGIENE_BASIC","PUBLISHED","2010","EMR","AFG","TOTL","37","37.22307","","",""
"WSH_HYGIENE_BASIC","PUBLISHED","2010","EMR","AFG","URB","64","63.58285","","",""
"WSH_HYGIENE_BASIC","PUBLISHED","2011","EMR","AFG","RUR","29","29.01855","","",""
"WSH_HYGIENE_BASIC","PUBLISHED","2011","EMR","AFG","TOTL","37","37.29601","","",""
"WSH_HYGIENE_BASIC","PUBLISHED","2011","EMR","AFG","URB","64","63.58285","","",""
"WSH_HYGIENE_BASIC","PUBLISHED","2012","EMR","AFG","RUR","29","29.01855","","",""
