"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","Display Value","Numeric","Low","High","Comments"
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2000","EUR","ALB","TOTL","49","49.29324","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2001","EUR","ALB","TOTL","49","49.21738","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2002","EUR","ALB","TOTL","49","49.08154","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2003","EUR","ALB","TOTL","49","48.94225","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2004","EUR","ALB","TOTL","51","50.73476","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2005","EUR","ALB","TOTL","53","52.55115","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2006","EUR","ALB","TOTL","54","54.39092","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2007","EUR","ALB","TOTL","56","56.25379","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2008","EUR","ALB","TOTL","58","58.13945","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2009","EUR","ALB","TOTL","60","60.04764","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2010","EUR","ALB","TOTL","62","61.97766","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2011","EUR","ALB","TOTL","64","63.92910","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2012","EUR","ALB","TOTL","66","65.90140","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2013","EUR","ALB","TOTL","68","67.89334","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2014","EUR","ALB","TOTL","70","69.90370","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2015","EUR","ALB","TOTL","70","69.94450","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2016","EUR","ALB","TOTL","70","69.98433","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2017","EUR","ALB","TOTL","70","70.02315","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2000","EUR","AND","TOTL","91","90.64000","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2001","EUR","AND","TOTL","91","90.64000","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2002","EUR","AND","TOTL","91","90.64000","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2003","EUR","AND","TOTL","91","90.64000","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2004","EUR","AND","TOTL","91","90.64000","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2005","EUR","AND","TOTL","91","90.64000","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2006","EUR","AND","TOTL","91","90.64001","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2007","EUR","AND","TOTL","91","90.64000","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2008","EUR","AND","TOTL","91","90.64000","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2009","EUR","AND","TOTL","91","90.64000","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2010","EUR","AND","TOTL","91","90.64000","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2011","EUR","AND","TOTL","91","90.64000","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2012","EUR","AND","TOTL","91","90.64000","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2013","EUR","AND","TOTL","91","90.64000","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2014","EUR","AND","TOTL","91","90.64000","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2015","EUR","AND","TOTL","91","90.64000","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2016","EUR","AND","TOTL","91","90.64000","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2017","EUR","AND","TOTL","91","90.64000","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2000","EUR","ARM","TOTL","30","29.59756","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2001","EUR","ARM","TOTL","30","29.74282","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2002","EUR","ARM","TOTL","33","33.29816","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2003","EUR","ARM","TOTL","37","36.84346","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2004","EUR","ARM","TOTL","40","40.39033","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2005","EUR","ARM","TOTL","44","43.93894","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2006","EUR","ARM","TOTL","47","47.48906","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2007","EUR","ARM","TOTL","51","51.04095","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2008","EUR","ARM","TOTL","55","54.59447","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2009","EUR","ARM","TOTL","58","58.14978","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2010","EUR","ARM","TOTL","62","61.70686","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2011","EUR","ARM","TOTL","65","65.26573","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2012","EUR","ARM","TOTL","69","68.82645","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2013","EUR","ARM","TOTL","72","72.39100","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2014","EUR","ARM","TOTL","76","75.96124","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2015","EUR","ARM","TOTL","79","79.43497","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2016","EUR","ARM","TOTL","83","83.00597","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2017","EUR","ARM","TOTL","86","86.47636","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2000","WPR","AUS","URB","98","98.16657","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2001","WPR","AUS","URB","98","98.16657","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2002","WPR","AUS","URB","98","98.16657","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2003","WPR","AUS","URB","98","98.22697","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2004","WPR","AUS","URB","98","98.28738","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2005","WPR","AUS","URB","98","98.34779","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2006","WPR","AUS","URB","98","98.40823","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2007","WPR","AUS","URB","98","98.46866","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2008","WPR","AUS","URB","99","98.52911","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2009","WPR","AUS","URB","99","98.58957","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2010","WPR","AUS","URB","99","98.65003","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2011","WPR","AUS","URB","99","98.71051","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2012","WPR","AUS","URB","99","98.77100","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2013","WPR","AUS","URB","99","98.78088","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2014","WPR","AUS","URB","99","98.79077","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2015","WPR","AUS","URB","99","98.80065","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2016","WPR","AUS","URB","99","98.80065","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2017","WPR","AUS","URB","99","98.80065","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2000","EUR","AUT","TOTL","98","97.71394","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2001","EUR","AUT","TOTL","98","97.79684","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2002","EUR","AUT","TOTL","98","97.87975","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2003","EUR","AUT","TOTL","98","97.96266","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2004","EUR","AUT","TOTL","98","98.04557","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2005","EUR","AUT","TOTL","98","98.12848","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2006","EUR","AUT","TOTL","98","98.21139","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2007","EUR","AUT","TOTL","98","98.29430","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2008","EUR","AUT","TOTL","98","98.37721","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2009","EUR","AUT","TOTL","98","98.46012","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2010","EUR","AUT","TOTL","99","98.54304","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2011","EUR","AUT","TOTL","99","98.62595","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2012","EUR","AUT","TOTL","99","98.70885","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2013","EUR","AUT","TOTL","99","98.79176","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2014","EUR","AUT","TOTL","99","98.87468","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2015","EUR","AUT","TOTL","99","98.90942","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2016","EUR","AUT","TOTL","99","98.90781","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2017","EUR","AUT","TOTL","99","98.90620","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2000","EUR","AZE","TOTL","50","49.67768","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2001","EUR","AZE","TOTL","50","50.13332","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2002","EUR","AZE","TOTL","51","50.58627","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2003","EUR","AZE","TOTL","51","51.03687","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2004","EUR","AZE","TOTL","53","53.46619","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2005","EUR","AZE","TOTL","56","55.92712","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2006","EUR","AZE","TOTL","58","58.41952","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2007","EUR","AZE","TOTL","61","60.94326","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2008","EUR","AZE","TOTL","63","63.49772","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2009","EUR","AZE","TOTL","66","66.08279","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2010","EUR","AZE","TOTL","69","68.70055","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2011","EUR","AZE","TOTL","70","70.32202","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2012","EUR","AZE","TOTL","71","70.85237","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2013","EUR","AZE","TOTL","71","71.38736","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2014","EUR","AZE","TOTL","72","71.92628","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2015","EUR","AZE","TOTL","72","72.46891","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2016","EUR","AZE","TOTL","73","73.01500","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2017","EUR","AZE","TOTL","74","73.56433","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2000","EMR","BHR","TOTL","99","98.79928","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2001","EMR","BHR","TOTL","99","98.82163","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2002","EMR","BHR","TOTL","99","98.84398","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2003","EMR","BHR","TOTL","99","98.86634","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2004","EMR","BHR","TOTL","99","98.88869","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2005","EMR","BHR","TOTL","99","98.91106","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2006","EMR","BHR","TOTL","99","98.93342","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2007","EMR","BHR","TOTL","99","98.95218","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2008","EMR","BHR","TOTL","99","98.96217","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2009","EMR","BHR","TOTL","99","98.97216","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2010","EMR","BHR","TOTL","99","98.98215","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2011","EMR","BHR","TOTL","99","98.98326","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2012","EMR","BHR","TOTL","99","98.98326","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2013","EMR","BHR","TOTL","99","98.98326","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2014","EMR","BHR","TOTL","99","98.98326","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2015","EMR","BHR","TOTL","99","98.98326","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2016","EMR","BHR","TOTL","99","98.98326","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2017","EMR","BHR","TOTL","99","98.98326","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2000","SEAR","BGD","RUR","59","59.41035","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2000","SEAR","BGD","TOTL","56","55.90670","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2000","SEAR","BGD","URB","45","44.55809","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2001","SEAR","BGD","RUR","60","59.53275","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2001","SEAR","BGD","TOTL","56","55.92532","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2001","SEAR","BGD","URB","45","44.56168","","",""
"WSH_WATER_SAFELY_MANAGED","PUBLISHED","2002","SEAR","BGD","RUR","60","59.65515","","",""
