"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"Youth_svy_age_range","PUBLISHED","2018","EMR","AFG","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","AFR","AGO","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","EUR","ALB","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","EUR","AND","Data not available","","","",""
"Youth_svy_age_range","PUBLISHED","2018","EMR","ARE","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","AMR","ARG","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","EUR","ARM","'13, 15 averaged","","","",""
"Youth_svy_age_range","PUBLISHED","2018","AMR","ATG","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","WPR","AUS","'12-17","","","",""
"Youth_svy_age_range","PUBLISHED","2018","EUR","AUT","'15-16","","","",""
"Youth_svy_age_range","PUBLISHED","2018","EUR","AZE","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","AFR","BDI","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","EUR","BEL","'15-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","AFR","BEN","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","AFR","BFA","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","SEAR","BGD","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","EUR","BGR","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","EMR","BHR","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","AMR","BHS","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","EUR","BIH","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","EUR","BLR","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","AMR","BLZ","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","AMR","BOL","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","AMR","BRA","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","AMR","BRB","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","WPR","BRN","'13-17","","","",""
"Youth_svy_age_range","PUBLISHED","2018","SEAR","BTN","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","AFR","BWA","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","AFR","CAF","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","AMR","CAN","'Grades 7-9","","","",""
"Youth_svy_age_range","PUBLISHED","2018","EUR","CHE","'15-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","AMR","CHL","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","WPR","CHN","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","AFR","CIV","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","AFR","CMR","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","AFR","COD","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","AFR","COG","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","WPR","COK","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","AMR","COL","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","AFR","COM","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","AFR","CPV","'12-18","","","",""
"Youth_svy_age_range","PUBLISHED","2018","AMR","CRI","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","AMR","CUB","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","EUR","CYP","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","EUR","CZE","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","EUR","DEU","'15-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","EMR","DJI","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","AMR","DMA","'13-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","EUR","DNK","'15-15","","","",""
"Youth_svy_age_range","PUBLISHED","2018","AMR","DOM","'13-15","","","",""
