"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"Youth_svy_national","PUBLISHED","2018","EMR","AFG","Subnational","","","",""
"Youth_svy_national","PUBLISHED","2018","AFR","AGO","Subnational","","","",""
"Youth_svy_national","PUBLISHED","2018","EUR","ALB","National","","","",""
"Youth_svy_national","PUBLISHED","2018","EUR","AND","Data not available","","","",""
"Youth_svy_national","PUBLISHED","2018","EMR","ARE","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AMR","ARG","National","","","",""
"Youth_svy_national","PUBLISHED","2018","EUR","ARM","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AMR","ATG","National","","","",""
"Youth_svy_national","PUBLISHED","2018","WPR","AUS","National","","","",""
"Youth_svy_national","PUBLISHED","2018","EUR","AUT","National","","","",""
"Youth_svy_national","PUBLISHED","2018","EUR","AZE","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AFR","BDI","National","","","",""
"Youth_svy_national","PUBLISHED","2018","EUR","BEL","Subnational","","","",""
"Youth_svy_national","PUBLISHED","2018","AFR","BEN","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AFR","BFA","Subnational","","","",""
"Youth_svy_national","PUBLISHED","2018","SEAR","BGD","National","","","",""
"Youth_svy_national","PUBLISHED","2018","EUR","BGR","National","","","",""
"Youth_svy_national","PUBLISHED","2018","EMR","BHR","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AMR","BHS","National","","","",""
"Youth_svy_national","PUBLISHED","2018","EUR","BIH","National","","","",""
"Youth_svy_national","PUBLISHED","2018","EUR","BLR","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AMR","BLZ","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AMR","BOL","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AMR","BRA","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AMR","BRB","National","","","",""
"Youth_svy_national","PUBLISHED","2018","WPR","BRN","National","","","",""
"Youth_svy_national","PUBLISHED","2018","SEAR","BTN","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AFR","BWA","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AFR","CAF","Subnational","","","",""
"Youth_svy_national","PUBLISHED","2018","AMR","CAN","National","","","",""
"Youth_svy_national","PUBLISHED","2018","EUR","CHE","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AMR","CHL","National","","","",""
"Youth_svy_national","PUBLISHED","2018","WPR","CHN","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AFR","CIV","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AFR","CMR","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AFR","COD","Subnational","","","",""
"Youth_svy_national","PUBLISHED","2018","AFR","COG","National","","","",""
"Youth_svy_national","PUBLISHED","2018","WPR","COK","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AMR","COL","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AFR","COM","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AFR","CPV","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AMR","CRI","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AMR","CUB","National","","","",""
"Youth_svy_national","PUBLISHED","2018","EUR","CYP","National","","","",""
"Youth_svy_national","PUBLISHED","2018","EUR","CZE","National","","","",""
"Youth_svy_national","PUBLISHED","2018","EUR","DEU","National","","","",""
"Youth_svy_national","PUBLISHED","2018","EMR","DJI","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AMR","DMA","National","","","",""
"Youth_svy_national","PUBLISHED","2018","EUR","DNK","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AMR","DOM","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AFR","DZA","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AMR","ECU","National","","","",""
"Youth_svy_national","PUBLISHED","2018","EMR","EGY","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AFR","ERI","National","","","",""
"Youth_svy_national","PUBLISHED","2018","EUR","ESP","National","","","",""
"Youth_svy_national","PUBLISHED","2018","EUR","EST","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AFR","ETH","Subnational","","","",""
"Youth_svy_national","PUBLISHED","2018","EUR","FIN","National","","","",""
"Youth_svy_national","PUBLISHED","2018","WPR","FJI","National","","","",""
"Youth_svy_national","PUBLISHED","2018","EUR","FRA","National","","","",""
"Youth_svy_national","PUBLISHED","2018","WPR","FSM","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AFR","GAB","National","","","",""
"Youth_svy_national","PUBLISHED","2018","EUR","GBR","Subnational","","","",""
"Youth_svy_national","PUBLISHED","2018","EUR","GEO","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AFR","GHA","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AFR","GIN","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AFR","GMB","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AFR","GNB","Subnational","","","",""
"Youth_svy_national","PUBLISHED","2018","AFR","GNQ","National","","","",""
"Youth_svy_national","PUBLISHED","2018","EUR","GRC","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AMR","GRD","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AMR","GTM","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AMR","GUY","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AMR","HND","National","","","",""
"Youth_svy_national","PUBLISHED","2018","EUR","HRV","National","","","",""
"Youth_svy_national","PUBLISHED","2018","AMR","HTI","National","","","",""
"Youth_svy_national","PUBLISHED","2018","EUR","HUN","National","","","",""
"Youth_svy_national","PUBLISHED","2018","SEAR","IDN","National","","","",""
"Youth_svy_national","PUBLISHED","2018","SEAR","IND","National","","","",""
"Youth_svy_national","PUBLISHED","2018","EUR","IRL","National","","","",""
"Youth_svy_national","PUBLISHED","2018","EMR","IRN","National","","","",""
