"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"Yth_curr_cig_smoking","PUBLISHED","2018","EMR","AFG","MLE","4.3","4.30000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AFR","AGO","MLE","3.2","3.20000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","ALB","MLE","8.3","8.30000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","AND","MLE","Data not available","","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EMR","ARE","MLE","11.3","11.30000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AMR","ARG","MLE","17.4","17.40000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","ARM","MLE","Data not available","","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AMR","ATG","MLE","1.5","1.50000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","WPR","AUS","MLE","5.4","5.40000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","AUT","MLE","27.0","27.00000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","AZE","MLE","4.6","4.60000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AFR","BDI","MLE","5.8","5.80000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","BEL","MLE","Data not available","","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AFR","BEN","MLE","5.1","5.10000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AFR","BFA","MLE","11.9","11.90000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","SEAR","BGD","MLE","10.1","10.10000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","BGR","MLE","17.2","17.20000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EMR","BHR","MLE","21.1","21.10000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AMR","BHS","MLE","4.6","4.60000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","BIH","MLE","13.4","13.40000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","BLR","MLE","7.2","7.20000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AMR","BLZ","MLE","10.4","10.40000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AMR","BOL","MLE","15.3","15.30000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AMR","BRA","MLE","5.3","5.30000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AMR","BRB","MLE","8.8","8.80000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","WPR","BRN","MLE","17.8","17.80000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","SEAR","BTN","MLE","32.5","32.50000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AFR","BWA","MLE","18.1","18.10000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AFR","CAF","MLE","10.4","10.40000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AMR","CAN","MLE","3.9","3.90000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","CHE","MLE","Data not available","","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AMR","CHL","MLE","19.1","19.10000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","WPR","CHN","MLE","9.9","9.90000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AFR","CIV","MLE","20.9","20.90000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AFR","CMR","MLE","8.3","8.30000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AFR","COD","MLE","11.5","11.50000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AFR","COG","MLE","11.3","11.30000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","WPR","COK","MLE","23.5","23.50000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AMR","COL","MLE","9.2","9.20000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AFR","COM","MLE","10.5","10.50000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AFR","CPV","MLE","Data not available","","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AMR","CRI","MLE","5.7","5.70000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AMR","CUB","MLE","10.2","10.20000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","CYP","MLE","20.7","20.70000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","CZE","MLE","14.0","14.00000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","DEU","MLE","Data not available","","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EMR","DJI","MLE","8.0","8.00000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AMR","DMA","MLE","13.8","13.80000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","DNK","MLE","Data not available","","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AMR","DOM","MLE","2.4","2.40000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AFR","DZA","MLE","12.2","12.20000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AMR","ECU","MLE","8.9","8.90000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EMR","EGY","MLE","8.3","8.30000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AFR","ERI","MLE","2.0","2.00000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","ESP","MLE","Data not available","","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","EST","MLE","8.6","8.60000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AFR","ETH","MLE","4.4","4.40000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","FIN","MLE","Data not available","","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","WPR","FJI","MLE","6.8","6.80000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","FRA","MLE","Data not available","","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","WPR","FSM","MLE","37.6","37.60000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AFR","GAB","MLE","6.1","6.10000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","GBR","MLE","5.0","5.00000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","GEO","MLE","12.3","12.30000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AFR","GHA","MLE","3.2","3.20000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AFR","GIN","MLE","11.6","11.60000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AFR","GMB","MLE","11.7","11.70000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AFR","GNB","MLE","7.2","7.20000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AFR","GNQ","MLE","9.9","9.90000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","GRC","MLE","16.9","16.90000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AMR","GRD","MLE","6.7","6.70000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AMR","GTM","MLE","14.7","14.70000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AMR","GUY","MLE","13.3","13.30000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AMR","HND","MLE","6.1","6.10000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","HRV","MLE","4.3","4.30000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AMR","HTI","MLE","14.1","14.10000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","HUN","MLE","16.0","16.00000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","SEAR","IDN","MLE","21.4","21.40000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","SEAR","IND","MLE","5.8","5.80000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","IRL","MLE","Data not available","","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EMR","IRN","MLE","4.8","4.80000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EMR","IRQ","MLE","7.8","7.80000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","ISL","MLE","Data not available","","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","ISR","MLE","Data not available","","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","ITA","MLE","16.2","16.20000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AMR","JAM","MLE","11.1","11.10000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EMR","JOR","MLE","17.3","17.30000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","WPR","JPN","MLE","0.7","0.70000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","KAZ","MLE","4.5","4.50000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AFR","KEN","MLE","7.4","7.40000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","KGZ","MLE","4.0","4.00000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","WPR","KHM","MLE","0.9","0.90000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","WPR","KIR","MLE","34.3","34.30000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AMR","KNA","MLE","4.8","4.80000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","WPR","KOR","MLE","9.4","9.40000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EMR","KWT","MLE","19.4","19.40000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","WPR","LAO","MLE","10.7","10.70000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EMR","LBN","MLE","15.6","15.60000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AFR","LBR","MLE","Data not available","","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EMR","LBY","MLE","6.1","6.10000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AMR","LCA","MLE","7.3","7.30000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","SEAR","LKA","MLE","4.2","4.20000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AFR","LSO","MLE","11.8","11.80000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","LTU","MLE","16.3","16.30000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","LUX","MLE","Data not available","","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","LVA","MLE","16.9","16.90000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EMR","MAR","MLE","2.7","2.70000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","MCO","MLE","29.0","29.00000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","MDA","MLE","12.7","12.70000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AFR","MDG","MLE","15.0","15.00000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","SEAR","MDV","MLE","12.3","12.30000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AMR","MEX","MLE","15.8","15.80000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","WPR","MHL","MLE","21.5","21.50000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","MKD","MLE","9.0","9.00000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","AFR","MLI","MLE","17.4","17.40000","","",""
"Yth_curr_cig_smoking","PUBLISHED","2018","EUR","MLT","MLE","Data not available","","","",""
