"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"Yth_curr_tob_use","PUBLISHED","2018","EMR","AFG","MLE","10.1","10.10000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AFR","AGO","MLE","20.2","20.20000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","ALB","MLE","14.5","14.50000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","AND","MLE","Data not available","","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EMR","ARE","MLE","17.8","17.80000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AMR","ARG","MLE","22.7","22.70000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","ARM","MLE","Data not available","","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AMR","ATG","MLE","7.9","7.90000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","WPR","AUS","MLE","Data not available","","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","AUT","MLE","Data not available","","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","AZE","MLE","Data not available","","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AFR","BDI","MLE","20.7","20.70000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","BEL","MLE","Data not available","","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AFR","BEN","MLE","7.2","7.20000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AFR","BFA","MLE","22.6","22.60000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","SEAR","BGD","MLE","13.2","13.20000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","BGR","MLE","27.4","27.40000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EMR","BHR","MLE","26.5","26.50000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AMR","BHS","MLE","16.1","16.10000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","BIH","MLE","18.1","18.10000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","BLR","MLE","9.5","9.50000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AMR","BLZ","MLE","16.6","16.60000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AMR","BOL","MLE","20.9","20.90000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AMR","BRA","MLE","6.7","6.70000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AMR","BRB","MLE","17.4","17.40000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","WPR","BRN","MLE","18.9","18.90000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","SEAR","BTN","MLE","36.5","36.50000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AFR","BWA","MLE","27.0","27.00000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AFR","CAF","MLE","29.5","29.50000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AMR","CAN","MLE","12.1","12.10000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","CHE","MLE","Data not available","","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AMR","CHL","MLE","19.8","19.80000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","WPR","CHN","MLE","11.2","11.20000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AFR","CIV","MLE","26.3","26.30000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AFR","CMR","MLE","13.8","13.80000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AFR","COD","MLE","36.2","36.20000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AFR","COG","MLE","27.6","27.60000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","WPR","COK","MLE","29.7","29.70000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AMR","COL","MLE","20.6","20.60000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AFR","COM","MLE","15.9","15.90000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AFR","CPV","MLE","Data not available","","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AMR","CRI","MLE","9.7","9.70000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AMR","CUB","MLE","13.0","13.00000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","CYP","MLE","28.7","28.70000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","CZE","MLE","21.3","21.30000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","DEU","MLE","Data not available","","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EMR","DJI","MLE","17.8","17.80000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AMR","DMA","MLE","30.4","30.40000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","DNK","MLE","Data not available","","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AMR","DOM","MLE","8.3","8.30000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AFR","DZA","MLE","17.4","17.40000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AMR","ECU","MLE","15.3","15.30000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EMR","EGY","MLE","18.1","18.10000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AFR","ERI","MLE","7.8","7.80000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","ESP","MLE","Data not available","","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","EST","MLE","22.6","22.60000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AFR","ETH","MLE","11.5","11.50000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","FIN","MLE","Data not available","","","",""
"Yth_curr_tob_use","PUBLISHED","2018","WPR","FJI","MLE","11.8","11.80000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","FRA","MLE","Data not available","","","",""
"Yth_curr_tob_use","PUBLISHED","2018","WPR","FSM","MLE","52.1","52.10000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AFR","GAB","MLE","9.2","9.20000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","GBR","MLE","Data not available","","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","GEO","MLE","20.6","20.60000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AFR","GHA","MLE","8.8","8.80000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AFR","GIN","MLE","30.8","30.80000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AFR","GMB","MLE","17.9","17.90000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AFR","GNB","MLE","11.5","11.50000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AFR","GNQ","MLE","25.1","25.10000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","GRC","MLE","Data not available","","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AMR","GRD","MLE","12.5","12.50000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AMR","GTM","MLE","19.5","19.50000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AMR","GUY","MLE","19.0","19.00000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AMR","HND","MLE","9.6","9.60000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","HRV","MLE","Data not available","","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AMR","HTI","MLE","20.3","20.30000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","HUN","MLE","25.0","25.00000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","SEAR","IDN","MLE","23.0","23.00000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","SEAR","IND","MLE","19.0","19.00000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","IRL","MLE","Data not available","","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EMR","IRN","MLE","12.9","12.90000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EMR","IRQ","MLE","19.4","19.40000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","ISL","MLE","Data not available","","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","ISR","MLE","Data not available","","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","ITA","MLE","17.8","17.80000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AMR","JAM","MLE","15.9","15.90000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EMR","JOR","MLE","33.9","33.90000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","WPR","JPN","MLE","Data not available","","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","KAZ","MLE","Data not available","","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AFR","KEN","MLE","12.8","12.80000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","KGZ","MLE","12.3","12.30000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","WPR","KHM","MLE","2.9","2.90000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","WPR","KIR","MLE","37.7","37.70000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AMR","KNA","MLE","10.4","10.40000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","WPR","KOR","MLE","Data not available","","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EMR","KWT","MLE","24.2","24.20000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","WPR","LAO","MLE","16.4","16.40000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EMR","LBN","MLE","35.3","35.30000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AFR","LBR","MLE","9.3","9.30000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EMR","LBY","MLE","11.0","11.00000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AMR","LCA","MLE","12.4","12.40000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","SEAR","LKA","MLE","13.0","13.00000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AFR","LSO","MLE","26.4","26.40000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","LTU","MLE","23.6","23.60000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","LUX","MLE","Data not available","","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","LVA","MLE","25.3","25.30000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EMR","MAR","MLE","7.3","7.30000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","MCO","MLE","Data not available","","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","MDA","MLE","14.9","14.90000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AFR","MDG","MLE","16.7","16.70000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","SEAR","MDV","MLE","15.8","15.80000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AMR","MEX","MLE","21.6","21.60000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","WPR","MHL","MLE","36.5","36.50000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","MKD","MLE","9.8","9.80000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AFR","MLI","MLE","23.1","23.10000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","MLT","MLE","Data not available","","","",""
"Yth_curr_tob_use","PUBLISHED","2018","SEAR","MMR","MLE","26.3","26.30000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","EUR","MNE","MLE","15.0","15.00000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","WPR","MNG","MLE","20.3","20.30000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AFR","MOZ","MLE","4.5","4.50000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AFR","MRT","MLE","19.6","19.60000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AFR","MUS","MLE","22.8","22.80000","","",""
"Yth_curr_tob_use","PUBLISHED","2018","AFR","MWI","MLE","16.7","16.70000","","",""
