"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"Yth_nonsmoked_svy_title","PUBLISHED","2018","EMR","AFG","Global Youth Tobacco Survey (Kabul)","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AFR","AGO","Global Youth Tobacco Survey (Huambo)","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","EUR","ALB","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","EUR","AND","Data not available","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","EMR","ARE","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AMR","ARG","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","EUR","ARM","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AMR","ATG","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","WPR","AUS","Data not available","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","EUR","AUT","ESPAD","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","EUR","AZE","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AFR","BDI","Data not available","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","EUR","BEL","Data not available","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AFR","BEN","Data not available","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AFR","BFA","Global Youth Tobacco Survey (Ouagadougou)","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","SEAR","BGD","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","EUR","BGR","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","EMR","BHR","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AMR","BHS","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","EUR","BIH","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","EUR","BLR","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AMR","BLZ","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AMR","BOL","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AMR","BRA","Data not available","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AMR","BRB","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","WPR","BRN","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","SEAR","BTN","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AFR","BWA","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AFR","CAF","Global Youth Tobacco Survey (Bangui)","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AMR","CAN","Canadian Student Tobacco, Alcohol and Drugs Survey (CSTADS)","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","EUR","CHE","Health Behaviour in School-aged Children","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AMR","CHL","Data not available","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","WPR","CHN","Data not available","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AFR","CIV","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AFR","CMR","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AFR","COD","Global Youth Tobacco Survey (Kinshasa)","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AFR","COG","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","WPR","COK","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AMR","COL","Encuesta Nacional de Tabaquismo en Jóvenes","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AFR","COM","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AFR","CPV","Data not available","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AMR","CRI","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AMR","CUB","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","EUR","CYP","Data not available","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","EUR","CZE","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","EUR","DEU","Data not available","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","EMR","DJI","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AMR","DMA","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","EUR","DNK","Data not available","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AMR","DOM","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AFR","DZA","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AMR","ECU","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","EMR","EGY","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AFR","ERI","Data not available","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","EUR","ESP","Data not available","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","EUR","EST","Health Behaviour in School-aged Children","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AFR","ETH","Data not available","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","EUR","FIN","Adolescent Health and Lifestyle Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","WPR","FJI","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","EUR","FRA","Data not available","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","WPR","FSM","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AFR","GAB","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","EUR","GBR","Smoking, Drinking and Drug Use Among Young People in England (England)","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","EUR","GEO","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AFR","GHA","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AFR","GIN","Data not available","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AFR","GMB","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AFR","GNB","Data not available","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AFR","GNQ","Data not available","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","EUR","GRC","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AMR","GRD","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AMR","GTM","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AMR","GUY","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AMR","HND","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","EUR","HRV","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","AMR","HTI","Data not available","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","EUR","HUN","Global Youth Tobacco Survey","","","",""
"Yth_nonsmoked_svy_title","PUBLISHED","2018","SEAR","IDN","Global Youth Tobacco Survey","","","",""
