"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"anc1","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","AGOMICS199607","","No data","","","","Not available."
"anc1","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","AGOMICS199614","","No data","","","","Not available."
"anc1","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","ARMDHS200001","","77.8 [56.2-90.5]","78.00000","56.00000","91.00000",""
"anc1","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","ARMDHS200008","","98.1 [89.4-99.7]","98.00000","89.00000","100.00000",""
"anc1","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","ARMDHS200009","","84.9 [76.2-90.9]","85.00000","76.00000","91.00000",""
"anc1","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","ARMDHS200010","","97.4 [89.2-99.4]","97.00000","89.00000","99.00000",""
"anc1","EQ_DHS","PUBLISHED","2015","EUR","ARM","","","","ARMDHS201501","","100.0 [100.0-100.0]","100.00000","100.00000","100.00000",""
"anc1","EQ_DHS","PUBLISHED","2015","EUR","ARM","","","","ARMDHS201502","","100.0 [100.0-100.0]","100.00000","100.00000","100.00000","Attention - Estimate is based on 25-49 cases."
"anc1","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","","","BGDDHS200403","","51.1 [45.8-56.3]","51.00000","46.00000","56.00000",""
"anc1","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","AFGMICS201001","","74.2 [69.2-78.6]","74.00000","69.00000","79.00000",""
"anc1","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","AFGMICS201002","","44.7 [37.0-52.5]","45.00000","37.00000","53.00000",""
"anc1","EQ_MICS","PUBLISHED","2000","EUR","ALB","","","","ALBMICS200001","","No data","","","","Not available."
"anc1","EQ_MICS","PUBLISHED","2000","EUR","ALB","","","","ALBMICS200002","","No data","","","","Not available."
"anc1","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","AGOMICS199606","","No data","","","","Not available."
"anc1","EQ_MICS","PUBLISHED","2005","EUR","BLR","","","","BLRMICS200506","","100.0 [100.0-100.0]","100.00000","100.00000","100.00000",""
"anc1","EQ_MICS","PUBLISHED","2015","AMR","BLZ","","","","BLZMICS201505","","95.0 [87.8-98.1]","95.00000","88.00000","98.00000",""
"anc1","EQ_MICS","PUBLISHED","2015","AMR","BLZ","","","","BLZMICS201506","","98.1 [94.6-99.4]","98.00000","95.00000","99.00000",""
"anc1","EQ_DHS","PUBLISHED","1996","AFR","BEN","","","","BENDHS199603","","61.6 [51.9-70.4]","62.00000","52.00000","70.00000",""
"anc1","EQ_DHS","PUBLISHED","2011","AFR","BEN","","","","BENDHS201112","","88.8 [86.4-90.8]","89.00000","86.00000","91.00000",""
"anc1","EQ_MICS","PUBLISHED","2010","SEAR","BTN","","","","BTNMICS201003","","97.7 [93.5-99.2]","98.00000","94.00000","99.00000",""
"anc1","EQ_MICS","PUBLISHED","2010","SEAR","BTN","","","","BTNMICS201010","","98.0 [93.8-99.4]","98.00000","94.00000","99.00000",""
"anc1","EQ_MICS","PUBLISHED","2010","SEAR","BTN","","","","BTNMICS201018","","97.6 [92.1-99.3]","98.00000","92.00000","99.00000",""
"anc1","EQ_MICS","PUBLISHED","2010","SEAR","BTN","","","","BTNMICS201019","","99.3 [95.0-99.9]","99.00000","95.00000","100.00000",""
"anc1","EQ_DHS","PUBLISHED","2003","AMR","BOL","","","","BOLDHS200303","","No data","","","","Not available."
"anc1","EQ_DHS","PUBLISHED","2003","AMR","BOL","","","","BOLDHS200307","","No data","","","","Not available."
"anc1","EQ_DHS","PUBLISHED","2003","AMR","BOL","","","","BOLDHS200307","","89.3 [86.1-91.9]","89.00000","86.00000","92.00000",""
"anc1","EQ_DHS","PUBLISHED","2010","AFR","BFA","","","","BFADHS201010","","No data","","","","Not available."
"anc1","EQ_DHS","PUBLISHED","2010","AFR","BFA","","","","BFADHS201014","","No data","","","","Not available."
"anc1","EQ_MICS","PUBLISHED","2000","EUR","BIH","","","","BIHMICS200002","","No data","","","","Not available."
"anc1","EQ_MICS","PUBLISHED","2006","EUR","BIH","","","","BIHMICS200602","","No data","","","","Not available."
"anc1","EQ_MICS","PUBLISHED","2011","EUR","BIH","","","","BIHMICS201103","","90.6 [69.0-97.7]","91.00000","69.00000","98.00000","Attention - Estimate is based on 25-49 cases."
"anc1","EQ_DHS","PUBLISHED","1992","AFR","BFA","","","","BFADHS199204","","No data","","","","Not available."
"anc1","EQ_MICS","PUBLISHED","2006","AFR","BFA","","","","BFAMICS200604","","97.1 [91.9-99.0]","97.00000","92.00000","99.00000",""
"anc1","EQ_DHS","PUBLISHED","2010","AFR","BFA","","","","BFADHS201005","","No data","","","","Not available."
"anc1","EQ_DHS","PUBLISHED","2010","AFR","BFA","","","","BFADHS201006","","No data","","","","Not available."
"anc1","EQ_DHS","PUBLISHED","2010","AFR","BFA","","","","BFADHS201010","","96.7 [93.9-98.2]","97.00000","94.00000","98.00000",""
"anc1","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","","BGDDHS199604","","31.6 [26.0-37.8]","32.00000","26.00000","38.00000",""
"anc1","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","","ARMDHS200502","","93.3 [84.9-97.2]","93.00000","85.00000","97.00000",""
"anc1","EQ_DHS","PUBLISHED","2016","AFR","BDI","","","","BDIDHS201605","","99.7 [97.9-100.0]","100.00000","98.00000","100.00000",""
"anc1","EQ_MICS","PUBLISHED","2006","AFR","DZA","","","","DZAMICS200602","","No data","","","","Not available."
"anc1","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","AGODHS201501","","92.3 [85.1-96.2]","92.00000","85.00000","96.00000",""
"anc1","EQ_DHS","PUBLISHED","2016","AFR","BDI","","","","BDIDHS201606","","99.0 [96.8-99.7]","99.00000","97.00000","100.00000",""
"anc1","EQ_DHS","PUBLISHED","2016","AFR","BDI","","","","BDIDHS201613","","98.9 [95.8-99.7]","99.00000","96.00000","100.00000",""
"anc1","EQ_DHS","PUBLISHED","2000","WPR","KHM","","","","KHMDHS200024","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"anc1","EQ_DHS","PUBLISHED","2014","WPR","KHM","","","","KHMDHS201405","","95.7 [90.5-98.1]","96.00000","90.00000","98.00000",""
"anc1","EQ_DHS","PUBLISHED","2004","AFR","CMR","","","","CMRDHS200401","","73.7 [63.2-82.1]","74.00000","63.00000","82.00000",""
"anc1","EQ_DHS","PUBLISHED","2004","AFR","CMR","","","","CMRDHS200408","","97.8 [95.7-98.8]","98.00000","96.00000","99.00000",""
"anc1","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","AGODHS201505","","76.9 [69.0-83.3]","77.00000","69.00000","83.00000",""
"anc1","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","AGODHS201510","","89.2 [85.6-92.0]","89.00000","86.00000","92.00000",""
"anc1","EQ_DHS","PUBLISHED","2018","AFR","CMR","","","","CMRDHS201802","","No data","","","","Not available."
"anc1","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","AFGMICS201005","","52.9 [46.3-59.4]","53.00000","46.00000","59.00000",""
"anc1","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201502","","76.6 [67.9-83.5]","77.00000","68.00000","83.00000",""
"anc1","EQ_MICS","PUBLISHED","2000","AFR","DZA","","","","DZAMICS200001","","No data","","","","Not available."
"anc1","EQ_MICS","PUBLISHED","2014","AFR","BEN","","","","BENMICS201412","","86.7 [79.7-91.5]","87.00000","80.00000","91.00000",""
