"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"carep","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201503","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"carep","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201504","","57.1 [46.7-67.0]","57.00000","47.00000","67.00000",""
"carep","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201505","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"carep","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201506","","68.6 [59.3-76.6]","69.00000","59.00000","77.00000",""
"carep","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201520","","74.7 [61.4-84.6]","75.00000","61.00000","85.00000","Attention - Estimate is based on 25-49 cases."
"carep","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201521","","63.8 [54.3-72.4]","64.00000","54.00000","72.00000",""
"carep","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201522","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"carep","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201523","","58.2 [48.4-67.5]","58.00000","48.00000","67.00000",""
"carep","EQ_RHS","PUBLISHED","2002","EUR","ALB","","","","","ALBRHS200202","","No data","","","","Not available."
"carep","EQ_RHS","PUBLISHED","2002","EUR","ALB","","","","","ALBRHS200203","","No data","","","","Not available."
"carep","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","","","ALBMICS200504","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"carep","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201705","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"carep","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201706","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"carep","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201707","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"carep","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201708","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"carep","EQ_MICS","PUBLISHED","2000","AFR","DZA","","","","","DZAMICS200002","","No data","","","","Not available."
"carep","EQ_MICS","PUBLISHED","2000","AFR","DZA","","","","","DZAMICS200003","","No data","","","","Not available."
"carep","EQ_MICS","PUBLISHED","2000","AFR","DZA","","","","","DZAMICS200004","","No data","","","","Not available."
"carep","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","","DZAMICS201201","","68.1 [57.5-77.1]","68.00000","58.00000","77.00000",""
"carep","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","","DZAMICS201202","","75.9 [61.9-86.0]","76.00000","62.00000","86.00000",""
"carep","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199607","","No data","","","","Not available."
"carep","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199608","","No data","","","","Not available."
"carep","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199609","","No data","","","","Not available."
"carep","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199610","","No data","","","","Not available."
"carep","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","","AGODHS201502","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"carep","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","","AGODHS201503","","67.9 [48.9-82.3]","68.00000","49.00000","82.00000","Attention - Estimate is based on 25-49 cases."
"carep","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","","AGODHS201504","","84.2 [69.4-92.6]","84.00000","69.00000","93.00000","Attention - Estimate is based on 25-49 cases."
"carep","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","","AGODHS201505","","65.6 [49.0-79.1]","66.00000","49.00000","79.00000","Attention - Estimate is based on 25-49 cases."
"carep","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","","AGODHS201518","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"carep","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","","ARMDHS200001","","No data","","","","Not available."
"carep","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","","ARMDHS200002","","No data","","","","Not available."
"carep","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","","ARMDHS200003","","No data","","","","Not available."
"carep","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","","","ARMDHS200501","","No data","","","","Not available."
"carep","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","","","ARMDHS200502","","No data","","","","Not available."
"carep","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","","","ARMDHS200503","","No data","","","","Not available."
"carep","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","","","ARMDHS201001","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"carep","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","","","ARMDHS201002","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"carep","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","","","ARMDHS201003","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"carep","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","","","ARMDHS201004","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"carep","EQ_DHS","PUBLISHED","2015","EUR","ARM","","","","","ARMDHS201501","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"carep","EQ_DHS","PUBLISHED","2015","EUR","ARM","","","","","ARMDHS201502","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"carep","EQ_DHS","PUBLISHED","2015","EUR","ARM","","","","","ARMDHS201503","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"carep","EQ_DHS","PUBLISHED","2015","EUR","ARM","","","","","ARMDHS201504","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"carep","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","","AZEDHS200602","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"carep","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","","AZEDHS200603","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"carep","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","","AZEDHS200604","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"carep","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","","AZEDHS200605","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"carep","EQ_DHS","PUBLISHED","1993","SEAR","BGD","","","","","BGDDHS199303","","No data","","","","Not available."
"carep","EQ_DHS","PUBLISHED","1993","SEAR","BGD","","","","","BGDDHS199304","","No data","","","","Not available."
"carep","EQ_DHS","PUBLISHED","1993","SEAR","BGD","","","","","BGDDHS199305","","No data","","","","Not available."
"carep","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","","","","BGDDHS200401","","No data","","","","Not available."
"carep","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","","","","BGDDHS200402","","No data","","","","Not available."
"carep","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","","","","BGDDHS200403","","No data","","","","Not available."
"carep","EQ_MICS","PUBLISHED","2006","SEAR","BGD","","","","","BGDMICS200604","","34.9 [27.1-43.6]","35.00000","27.00000","44.00000",""
"carep","EQ_MICS","PUBLISHED","2006","SEAR","BGD","","","","","BGDMICS200605","","25.9 [21.4-31.0]","26.00000","21.00000","31.00000",""
"carep","EQ_MICS","PUBLISHED","2006","SEAR","BGD","","","","","BGDMICS200606","","29.8 [21.9-39.1]","30.00000","22.00000","39.00000",""
"carep","EQ_DHS","PUBLISHED","2011","SEAR","BGD","","","","","BGDDHS201104","","45.4 [33.9-57.4]","45.00000","34.00000","57.00000",""
"carep","EQ_DHS","PUBLISHED","2011","SEAR","BGD","","","","","BGDDHS201105","","31.1 [19.3-46.0]","31.00000","19.00000","46.00000",""
"carep","EQ_DHS","PUBLISHED","2011","SEAR","BGD","","","","","BGDDHS201106","","46.6 [32.1-61.7]","47.00000","32.00000","62.00000",""
"carep","EQ_DHS","PUBLISHED","2011","SEAR","BGD","","","","","BGDDHS201107","","43.2 [29.8-57.6]","43.00000","30.00000","58.00000",""
"carep","EQ_MICS","PUBLISHED","2012","SEAR","BGD","","","","","BGDMICS201202","","30.0 [19.3-43.3]","30.00000","19.00000","43.00000",""
"carep","EQ_MICS","PUBLISHED","2012","SEAR","BGD","","","","","BGDMICS201203","","37.8 [28.5-48.2]","38.00000","29.00000","48.00000",""
"carep","EQ_MICS","PUBLISHED","2012","SEAR","BGD","","","","","BGDMICS201204","","46.2 [36.2-56.6]","46.00000","36.00000","57.00000",""
"carep","EQ_MICS","PUBLISHED","2012","SEAR","BGD","","","","","BGDMICS201205","","35.0 [23.8-48.2]","35.00000","24.00000","48.00000",""
"carep","EQ_DHS","PUBLISHED","2014","SEAR","BGD","","","","","BGDDHS201401","","38.6 [25.3-53.9]","39.00000","25.00000","54.00000","Attention - Estimate is based on 25-49 cases."
"carep","EQ_DHS","PUBLISHED","2014","SEAR","BGD","","","","","BGDDHS201402","","46.3 [34.1-59.0]","46.00000","34.00000","59.00000",""
"carep","EQ_MICS","PUBLISHED","2005","EUR","BLR","","","","","BLRMICS200501","","87.4 [77.0-93.5]","87.00000","77.00000","94.00000",""
"carep","EQ_MICS","PUBLISHED","2005","EUR","BLR","","","","","BLRMICS200502","","87.4 [67.9-95.8]","87.00000","68.00000","96.00000","Attention - Estimate is based on 25-49 cases."
"carep","EQ_MICS","PUBLISHED","2011","AMR","BLZ","","","","","BLZMICS201101","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"carep","EQ_DHS","PUBLISHED","1996","AFR","BEN","","","","","BENDHS199601","","No data","","","","Not available."
"carep","EQ_DHS","PUBLISHED","1996","AFR","BEN","","","","","BENDHS199602","","No data","","","","Not available."
"carep","EQ_DHS","PUBLISHED","1996","AFR","BEN","","","","","BENDHS199603","","No data","","","","Not available."
"carep","EQ_DHS","PUBLISHED","1996","AFR","BEN","","","","","BENDHS199604","","No data","","","","Not available."
"carep","EQ_DHS","PUBLISHED","2001","AFR","BEN","","","","","BENDHS200106","","No data","","","","Not available."
"carep","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","","","BENDHS200607","","No data","","","","Not available."
"carep","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","","","BENDHS200608","","No data","","","","Not available."
"carep","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","","","BENDHS200609","","No data","","","","Not available."
"carep","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","","","BENDHS200610","","No data","","","","Not available."
"carep","EQ_DHS","PUBLISHED","2011","AFR","BEN","","","","","BENDHS201101","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"carep","EQ_DHS","PUBLISHED","2011","AFR","BEN","","","","","BENDHS201102","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"carep","EQ_MICS","PUBLISHED","2014","AFR","BEN","","","","","BENMICS201409","","8.7 [3.8-18.5]","9.00000","4.00000","19.00000",""
"carep","EQ_MICS","PUBLISHED","2014","AFR","BEN","","","","","BENMICS201410","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"carep","EQ_MICS","PUBLISHED","2014","AFR","BEN","","","","","BENMICS201411","","30.4 [15.5-51.0]","30.00000","16.00000","51.00000","Attention - Estimate is based on 25-49 cases."
"carep","EQ_MICS","PUBLISHED","2014","AFR","BEN","","","","","BENMICS201412","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"carep","EQ_DHS","PUBLISHED","2017","AFR","BEN","","","","","BENDHS201701","","14.1 [7.4-25.2]","14.00000","7.00000","25.00000",""
"carep","EQ_DHS","PUBLISHED","2017","AFR","BEN","","","","","BENDHS201702","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"carep","EQ_DHS","PUBLISHED","2017","AFR","BEN","","","","","BENDHS201703","","36.8 [22.0-54.7]","37.00000","22.00000","55.00000","Attention - Estimate is based on 25-49 cases."
"carep","EQ_DHS","PUBLISHED","2017","AFR","BEN","","","","","BENDHS201704","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"carep","EQ_MICS","PUBLISHED","2010","SEAR","BTN","","","","","BTNMICS201005","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
