"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","Display Value","Numeric","Low","High","Comments"
"cci2030","EQ_MICS","PUBLISHED","2007","AFR","NGA","NHLM","","","","17.8","17.76657","","",""
"cci2030","EQ_MICS","PUBLISHED","2011","AFR","NGA","","","","NGAMICS201117","17.8","17.81356","","",""
"cci2030","EQ_DHS","PUBLISHED","1998","AFR","NER","","RUR","","","18.2","18.18403","","",""
"cci2030","EQ_DHS","PUBLISHED","2001","AFR","MLI","","","WQ1","","18.5","18.53799","","",""
"cci2030","EQ_MICS","PUBLISHED","2011","AFR","NGA","","","WQ1","","17.2","17.21532","","",""
"cci2030","EQ_DHS","PUBLISHED","2005","AFR","ETH","","","WQ2","","17.1","17.14038","","",""
"cci2030","EQ_DHS","PUBLISHED","2014","AFR","TCD","","","","TCDDHS201402","16.6","16.59686","","",""
"cci2030","EQ_MICS","PUBLISHED","2010","AFR","TCD","","","","TCDMICS201019","16.4","16.37966","","",""
"cci2030","EQ_MICS","PUBLISHED","2010","AFR","CAF","","","","CAFMICS201014","16.0","15.98377","","",""
"cci2030","EQ_DHS","PUBLISHED","2004","AFR","TCD","","","WQ4","","15.7","15.73175","","",""
"cci2030","EQ_DHS","PUBLISHED","1994","AFR","CIV","","","WQ1","","15.0","15.00448","","",""
"cci2030","EQ_DHS","PUBLISHED","2000","AFR","ETH","","","","ETHDHS200007","14.7","14.73510","","",""
"cci2030","EQ_DHS","PUBLISHED","2005","AFR","ETH","","","","ETHDHS200502","14.1","14.09227","","",""
"cci2030","EQ_DHS","PUBLISHED","2000","AFR","ETH","","","","ETHDHS200004","14.0","13.95861","","",""
"cci2030","EQ_DHS","PUBLISHED","1996","AFR","TCD","","","","TCDDHS199604","13.6","13.57749","","",""
"cci2030","EQ_MICS","PUBLISHED","2007","AFR","NGA","","","","NGAMICS200720","13.5","13.47523","","",""
"cci2030","EQ_DHS","PUBLISHED","2014","AFR","TCD","","","","TCDDHS201414","13.2","13.19451","","",""
"cci2030","EQ_DHS","PUBLISHED","2014","AFR","TCD","","","","TCDDHS201417","12.7","12.72288","","",""
"cci2030","EQ_MICS","PUBLISHED","2010","AFR","TCD","","","WQ2","","12.4","12.44609","","",""
"cci2030","EQ_DHS","PUBLISHED","2004","AFR","TCD","NHLM","","","","11.6","11.55084","","",""
"cci2030","EQ_MICS","PUBLISHED","2007","AFR","NGA","","","","NGAMICS200733","11.1","11.05615","","",""
"cci2030","EQ_DHS","PUBLISHED","2014","AFR","TCD","","","","TCDDHS201401","10.2","10.21391","","",""
"cci2030","EQ_DHS","PUBLISHED","2000","AFR","ETH","","","WQ2","","9.9","9.90553","","",""
"cci2030","EQ_DHS","PUBLISHED","2005","AFR","ETH","","","","ETHDHS200505","9.8","9.82881","","",""
"cci2030","EQ_MICS","PUBLISHED","2007","AFR","NGA","","","","NGAMICS200734","9.3","9.30392","","",""
"cci2030","EQ_DHS","PUBLISHED","2004","AFR","TCD","","","","TCDDHS200403","8.6","8.61881","","",""
"cci2030","EQ_MICS","PUBLISHED","2007","AFR","NGA","","","","NGAMICS200705","6.8","6.83327","","",""
"cci2030","EQ_DHS","PUBLISHED","2004","AFR","TCD","","","","TCDDHS200404","5.6","5.62951","","",""
"cci2030","EQ_MICS","PUBLISHED","2010","AFR","TCD","","","","TCDMICS201010","19.0","18.97717","","",""
"cci2030","EQ_MICS","PUBLISHED","2007","AFR","NGA","","","","NGAMICS200719","19.3","19.25767","","",""
"cci2030","EQ_DHS","PUBLISHED","2001","AFR","MLI","","","WQ2","","19.6","19.58292","","",""
"cci2030","EQ_DHS","PUBLISHED","2006","AFR","NER","","","WQ1","","19.7","19.66381","","",""
"cci2030","EQ_DHS","PUBLISHED","2004","AFR","TCD","","","","TCDDHS200407","20.0","20.04279","","",""
"cci2030","EQ_DHS","PUBLISHED","2005","AFR","ETH","NHLM","","","","20.1","20.13522","","",""
"cci2030","EQ_DHS","PUBLISHED","1994","AMR","HTI","","","WQ1","","20.5","20.51488","","",""
"cci2030","EQ_DHS","PUBLISHED","1998","AFR","CMR","NHLM","","","","20.9","20.85253","","",""
"cci2030","EQ_DHS","PUBLISHED","1999","AFR","NGA","NHLM","","","","21.2","21.17630","","",""
"cci2030","EQ_DHS","PUBLISHED","1995","AFR","MLI","","RUR","","","21.3","21.28422","","",""
"cci2030","EQ_DHS","PUBLISHED","2005","AFR","ETH","","RUR","","","21.4","21.44877","","",""
"cci2030","EQ_MICS","PUBLISHED","2007","AFR","NGA","","","WQ2","","21.9","21.85819","","",""
"cci2030","EQ_DHS","PUBLISHED","1998","AFR","NER","NHLM","","","","22.1","22.10706","","",""
"cci2030","EQ_DHS","PUBLISHED","2011","AFR","ETH","","","WQ1","","22.3","22.28132","","",""
"cci2030","EQ_DHS","PUBLISHED","1998","AFR","BFA","","","WQ2","","22.7","22.69119","","",""
"cci2030","EQ_DHS","PUBLISHED","2001","AFR","MLI","","","","MLIDHS200101","22.7","22.73130","","",""
"cci2030","EQ_MICS","PUBLISHED","2010","AFR","CAF","","","WQ2","","23.1","23.07672","","",""
"cci2030","EQ_DHS","PUBLISHED","1998","AFR","BFA","","","","BFADHS199804","23.2","23.24266","","",""
"cci2030","EQ_DHS","PUBLISHED","2006","AFR","NER","","RUR","","","23.6","23.60660","","",""
"cci2030","EQ_DHS","PUBLISHED","2011","AFR","CMR","","","WQ1","","23.7","23.66118","","",""
"cci2030","EQ_DHS","PUBLISHED","1994","AFR","CIV","","RUR","","","24.0","24.03001","","",""
"cci2030","EQ_MICS","PUBLISHED","2010","AFR","CAF","NHLM","","","","24.3","24.32710","","",""
"cci2030","EQ_MICS","PUBLISHED","2010","AFR","CAF","","RUR","","","24.9","24.94254","","",""
"cci2030","EQ_DHS","PUBLISHED","1994","AFR","CIV","","","","CIVDHS199407","25.4","25.37127","","",""
"cci2030","EQ_DHS","PUBLISHED","2006","AFR","NER","NHLM","","","","25.4","25.40243","","",""
"cci2030","EQ_DHS","PUBLISHED","2003","AFR","NGA","","RUR","","","25.7","25.65126","","",""
"cci2030","EQ_DHS","PUBLISHED","1994","AFR","CAF","","RUR","","","25.7","25.72219","","",""
"cci2030","EQ_MICS","PUBLISHED","2010","AFR","CAF","","","","CAFMICS201004","26.0","26.00297","","",""
"cci2030","EQ_DHS","PUBLISHED","2000","AMR","HTI","","","WQ1","","26.0","26.04087","","",""
"cci2030","EQ_DHS","PUBLISHED","1994","AFR","CIV","","","WQ2","","24.6","24.63436","","",""
"cci2030","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201524","24.7","24.70438","","",""
"cci2030","EQ_DHS","PUBLISHED","1994","AFR","CIV","","","","CIVDHS199410","24.9","24.90195","","",""
"cci2030","EQ_DHS","PUBLISHED","1994","AFR","CIV","","","","CIVDHS199403","28.4","28.38974","","",""
"cci2030","EQ_DHS","PUBLISHED","2001","AFR","MLI","","","","MLIDHS200102","28.6","28.60680","","",""
"cci2030","EQ_DHS","PUBLISHED","1996","AFR","BEN","","","WQ1","","28.7","28.66031","","",""
"cci2030","EQ_DHS","PUBLISHED","2001","AFR","MLI","","","","MLIDHS200107","28.8","28.84877","","",""
"cci2030","EQ_DHS","PUBLISHED","2000","WPR","KHM","","","WQ2","","28.9","28.87491","","",""
"cci2030","EQ_DHS","PUBLISHED","1993","AFR","GHA","","","","GHADHS199308","29.1","29.10749","","",""
"cci2030","EQ_MICS","PUBLISHED","2011","AFR","NGA","","","WQ2","","29.2","29.15397","","",""
"cci2030","EQ_DHS","PUBLISHED","1997","AFR","MOZ","","","","MOZDHS199704","26.3","26.27866","","",""
"cci2030","EQ_DHS","PUBLISHED","1994","AFR","CIV","NHLM","","","","26.4","26.38293","","",""
"cci2030","EQ_DHS","PUBLISHED","2006","AFR","NER","","","","NERDHS200606","26.5","26.52163","","",""
"cci2030","EQ_DHS","PUBLISHED","1994","AFR","CAF","","","WQ2","","26.6","26.57881","","",""
"cci2030","EQ_MICS","PUBLISHED","2010","AFR","CAF","","","","CAFMICS201015","26.7","26.71581","","",""
"cci2030","EQ_DHS","PUBLISHED","1993","WPR","PHL","NHLM","","","","26.9","26.92195","","",""
"cci2030","EQ_DHS","PUBLISHED","2011","AFR","CMR","NHLM","","","","27.0","26.97372","","",""
"cci2030","EQ_DHS","PUBLISHED","2012","AFR","GIN","","","WQ1","","27.2","27.15317","","",""
"cci2030","EQ_DHS","PUBLISHED","1998","AFR","TGO","","","WQ2","","27.3","27.29813","","",""
"cci2030","EQ_DHS","PUBLISHED","2008","AFR","MDG","","","","MDGDHS200818","27.6","27.57462","","",""
"cci2030","EQ_DHS","PUBLISHED","1996","SEAR","NPL","","","","NPLDHS199605","27.7","27.70460","","",""
"cci2030","EQ_DHS","PUBLISHED","2006","AFR","NER","","","","NERDHS200602","27.9","27.85390","","",""
