"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","Display Value","Numeric","Low","High","Comments"
"dptv","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","URB","","","53.1 [47.7-58.5]","53.13909","47.68468","58.51951",""
"dptv","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","RUR","","","55.2 [50.1-60.1]","55.15231","50.11242","60.08856",""
"dptv","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","URB","","","87.1 [80.9-91.5]","87.11269","80.88662","91.52319",""
"dptv","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","RUR","","","76.5 [62.1-86.6]","76.50197","62.14133","86.59074",""
"dptv","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","URB","","","95.9 [90.9-98.2]","95.86974","90.92764","98.17373",""
"dptv","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","RUR","","","65.0 [56.3-72.7]","64.95160","56.30078","72.71969",""
"dptv","EQ_MICS","PUBLISHED","2005","AFR","BDI","","","URB","","","67.7 [59.9-74.6]","67.69691","59.86554","74.64729",""
"dptv","EQ_DHS","PUBLISHED","2010","AFR","BDI","","","RUR","","","96.2 [94.7-97.3]","96.20810","94.69312","97.30290",""
"dptv","EQ_DHS","PUBLISHED","2003","AFR","BFA","","","URB","","","72.5 [66.1-78.0]","72.48057","66.11448","78.04777",""
"dptv","EQ_MICS","PUBLISHED","2006","AFR","BFA","","","RUR","","","75.2 [70.2-79.5]","75.16759","70.20856","79.54167",""
"dptv","EQ_DHS","PUBLISHED","2010","AFR","BFA","","","URB","","","91.5 [86.8-94.7]","91.54870","86.84827","94.67225",""
"dptv","EQ_DHS","PUBLISHED","1993","SEAR","BGD","","","RUR","","","64.7 [60.2-69.0]","64.71421","60.18225","68.99609",""
"dptv","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","URB","","","76.5 [66.7-84.1]","76.52774","66.72428","84.12992",""
