"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","Display Value","Numeric","Low","High","Comments"
"ebreast","EQ_DHS","PUBLISHED","1999","AMR","DOM","","","","WQ5","","36.3 [22.4-52.9]","36.26686","22.37306","52.90813","Attention - Estimate is based on 25-49 cases."
"ebreast","EQ_DHS","PUBLISHED","1999","AMR","DOM","SHLM","","","","","50.9 [41.1-60.7]","50.90496","41.07452","60.66592",""
"ebreast","EQ_DHS","PUBLISHED","1999","AMR","DOM","","","","","DOMDHS199901","50.7 [40.3-61.2]","50.73657","40.25670","61.15211",""
"ebreast","EQ_DHS","PUBLISHED","1999","AMR","DOM","","","","","DOMDHS199903","62.5 [46.4-76.3]","62.54102","46.43761","76.27633","Attention - Estimate is based on 25-49 cases."
"ebreast","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","RUR","","","52.9 [49.0-56.7]","52.86807","48.99317","56.70871",""
"ebreast","EQ_MICS","PUBLISHED","2011","AMR","ARG","","","URB","","","52.7 [49.8-55.7]","52.74035","49.75137","55.70981",""
"ebreast","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","RUR","","","22.9 [20.0-26.1]","22.90822","20.01586","26.08223",""
"ebreast","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","URB","","","35.3 [29.7-41.4]","35.32658","29.71774","41.37088",""
"ebreast","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","RUR","","","43.3 [38.1-48.7]","43.29971","38.05920","48.69453",""
"ebreast","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","URB","","","56.0 [53.1-58.8]","55.98186","53.09014","58.83355",""
"ebreast","EQ_DHS","PUBLISHED","1998","AFR","BFA","","","URB","","","34.8 [29.9-40.0]","34.78111","29.88401","40.02263",""
"ebreast","EQ_DHS","PUBLISHED","2003","AFR","BFA","","","RUR","","","31.2 [28.9-33.6]","31.18662","28.89830","33.57058",""
"ebreast","EQ_MICS","PUBLISHED","2006","AFR","BFA","","","URB","","","17.9 [10.8-28.2]","17.91869","10.81100","28.22076",""
"ebreast","EQ_DHS","PUBLISHED","2010","AFR","BFA","","","RUR","","","41.8 [39.7-44.1]","41.84090","39.65331","44.06105",""
"ebreast","EQ_DHS","PUBLISHED","2007","SEAR","BGD","","","URB","","","40.7 [37.0-44.6]","40.74359","37.04140","44.55394",""
"ebreast","EQ_DHS","PUBLISHED","2011","SEAR","BGD","","","RUR","","","47.4 [45.1-49.7]","47.39194","45.11588","49.67889",""
"ebreast","EQ_MICS","PUBLISHED","2012","SEAR","BGD","","","URB","","","52.7 [48.1-57.3]","52.72382","48.08311","57.31793",""
"ebreast","EQ_DHS","PUBLISHED","2014","SEAR","BGD","","","RUR","","","54.1 [51.5-56.8]","54.13610","51.47792","56.77095",""
"ebreast","EQ_MICS","PUBLISHED","2006","EUR","BIH","","","URB","","","61.2 [51.8-69.8]","61.15621","51.78934","69.76563",""
"ebreast","EQ_MICS","PUBLISHED","2011","EUR","BIH","","","RUR","","","45.0 [37.5-52.8]","45.00377","37.47920","52.76409",""
"ebreast","EQ_DHS","PUBLISHED","1994","AMR","BOL","","","URB","","","26.5 [23.9-29.3]","26.54619","23.94530","29.32067",""
"ebreast","EQ_DHS","PUBLISHED","1998","AMR","BOL","","","RUR","","","34.8 [32.0-37.7]","34.81504","32.00026","37.74001",""
"ebreast","EQ_DHS","PUBLISHED","2003","AMR","BOL","","","URB","","","59.8 [57.3-62.3]","59.80193","57.26042","62.29182",""
"ebreast","EQ_DHS","PUBLISHED","2008","AMR","BOL","","","RUR","","","67.4 [64.9-69.8]","67.39672","64.94744","69.75455",""
"ebreast","EQ_DHS","PUBLISHED","1996","AMR","BRA","","","URB","","","32.2 [29.6-34.9]","32.22094","29.63028","34.92570",""
"ebreast","EQ_MICS","PUBLISHED","2012","AMR","BRB","","","RUR","","","45.3 [32.0-59.2]","45.25703","32.02177","59.19879",""
