"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","Display Value","Numeric","Low","High","Comments"
"ebreast5","EQ_DHS","PUBLISHED","1999","AMR","DOM","","","","WQ4","","50.9 [38.9-62.9]","50.93476","38.86793","62.89364",""
"ebreast5","EQ_DHS","PUBLISHED","1999","AMR","DOM","","","","WQ5","","48.9 [33.9-64.2]","48.94377","33.86555","64.21666",""
"ebreast5","EQ_DHS","PUBLISHED","1999","AMR","DOM","","FMLE","","","","60.1 [51.2-68.3]","60.06448","51.17814","68.33414",""
"ebreast5","EQ_DHS","PUBLISHED","1999","AMR","DOM","","MLE","","","","62.8 [53.2-71.5]","62.79607","53.21143","71.47002",""
"ebreast5","EQ_DHS","PUBLISHED","1999","AMR","DOM","","","","","DOMDHS199901","51.1 [42.9-59.3]","51.12378","42.88784","59.29915",""
"ebreast5","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","RUR","","","43.7 [41.1-46.4]","43.73116","41.08887","46.40951",""
"ebreast5","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","URB","","","41.0 [36.9-45.3]","41.04023","36.94827","45.26006",""
"ebreast5","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","URB","","","35.2 [29.8-40.9]","35.18301","29.82548","40.94145",""
"ebreast5","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","RUR","","","40.0 [35.9-44.3]","39.99342","35.85584","44.27886",""
"ebreast5","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","URB","","","23.4 [20.4-26.7]","23.36178","20.35909","26.65909",""
"ebreast5","EQ_DHS","PUBLISHED","2010","AFR","BDI","","","RUR","","","73.5 [71.6-75.4]","73.54321","71.55842","75.43704",""
"ebreast5","EQ_DHS","PUBLISHED","2010","AFR","BDI","","","URB","","","69.2 [64.9-73.3]","69.22522","64.88033","73.25416",""
"ebreast5","EQ_MICS","PUBLISHED","2006","AFR","BFA","","","RUR","","","No data","","","","Not available."
"ebreast5","EQ_MICS","PUBLISHED","2006","AFR","BFA","","","URB","","","No data","","","","Not available."
"ebreast5","EQ_DHS","PUBLISHED","1993","SEAR","BGD","","","RUR","","","No data","","","","Not available."
"ebreast5","EQ_DHS","PUBLISHED","1999","SEAR","BGD","","","RUR","","","15.8 [14.2-17.5]","15.77938","14.22877","17.46457",""
"ebreast5","EQ_MICS","PUBLISHED","2006","EUR","BIH","","","RUR","","","No data","","","","Not available."
"ebreast5","EQ_MICS","PUBLISHED","2006","EUR","BIH","","","URB","","","No data","","","","Not available."
"ebreast5","EQ_MICS","PUBLISHED","2005","EUR","BLR","","","RUR","","","No data","","","","Not available."
"ebreast5","EQ_MICS","PUBLISHED","2005","EUR","BLR","","","URB","","","No data","","","","Not available."
"ebreast5","EQ_RHS","PUBLISHED","1991","AMR","BLZ","","","RUR","","","44.3 [31.9-57.5]","44.31034","31.91479","57.45741",""
"ebreast5","EQ_DHS","PUBLISHED","2003","AMR","BOL","","","URB","","","59.9 [57.5-62.2]","59.87308","57.48993","62.21044",""
"ebreast5","EQ_DHS","PUBLISHED","1996","AMR","BRA","","","RUR","","","33.3 [28.9-38.0]","33.26996","28.85859","37.99552",""
"ebreast5","EQ_DHS","PUBLISHED","1996","AMR","BRA","","","URB","","","31.6 [29.3-33.9]","31.58775","29.33427","33.93121",""
"ebreast5","EQ_MICS","PUBLISHED","2010","SEAR","BTN","","","RUR","","","No data","","","","Not available."
"ebreast5","EQ_MICS","PUBLISHED","2010","SEAR","BTN","","","URB","","","No data","","","","Not available."
"ebreast5","EQ_MICS","PUBLISHED","2006","AFR","CAF","","","RUR","","","No data","","","","Not available."
"ebreast5","EQ_DHS","PUBLISHED","2011","AFR","CIV","","","URB","","","34.2 [29.6-39.1]","34.18174","29.59677","39.08268",""
"ebreast5","EQ_DHS","PUBLISHED","2004","AFR","CMR","","","RUR","","","27.5 [25.5-29.7]","27.53157","25.46802","29.69571",""
"ebreast5","EQ_DHS","PUBLISHED","2004","AFR","CMR","","","URB","","","37.1 [34.5-39.7]","37.08428","34.50415","39.74028",""
"ebreast5","EQ_DHS","PUBLISHED","2011","AFR","CMR","","","RUR","","","42.2 [39.7-44.8]","42.20449","39.68207","44.76826",""
"ebreast5","EQ_DHS","PUBLISHED","2011","AFR","CMR","","","URB","","","44.3 [41.9-46.7]","44.27198","41.91842","46.65155",""
"ebreast5","EQ_DHS","PUBLISHED","1995","AMR","COL","","","RUR","","","52.0 [49.1-55.0]","52.04545","49.11794","54.95898",""
"ebreast5","EQ_DHS","PUBLISHED","1995","AMR","COL","","","URB","","","47.7 [45.4-50.0]","47.67289","45.36889","49.98683",""
"ebreast5","EQ_DHS","PUBLISHED","2005","AMR","COL","","","RUR","","","64.7 [62.6-66.7]","64.65028","62.57055","66.67598",""
"ebreast5","EQ_DHS","PUBLISHED","2005","AMR","COL","","","URB","","","59.7 [58.0-61.3]","59.66951","57.99283","61.32390",""
"ebreast5","EQ_DHS","PUBLISHED","2015","AMR","COL","","","RUR","","","No data","","","","Not available."
"ebreast5","EQ_MICS","PUBLISHED","2010","AMR","CUB","","","RUR","","","No data","","","","Not available."
"ebreast5","EQ_MICS","PUBLISHED","2010","AMR","CUB","","","URB","","","No data","","","","Not available."
"ebreast5","EQ_MICS","PUBLISHED","2006","EMR","DJI","","","RUR","","","No data","","","","Not available."
"ebreast5","EQ_DHS","PUBLISHED","1999","AMR","DOM","","","RUR","","","67.7 [59.4-75.1]","67.74809","59.43257","75.07398",""
"ebreast5","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","URB","","","No data","","","","Not available."
"ebreast5","EQ_RHS","PUBLISHED","1999","AMR","ECU","","","RUR","","","32.2 [29.6-35.0]","32.24557","29.57784","35.03422",""
"ebreast5","EQ_RHS","PUBLISHED","1999","AMR","ECU","","","URB","","","22.7 [20.4-25.1]","22.66192","20.41113","25.08268",""
"ebreast5","EQ_DHS","PUBLISHED","1995","EMR","EGY","","","RUR","","","39.3 [37.5-41.1]","39.30693","37.49603","41.14772",""
"ebreast5","EQ_DHS","PUBLISHED","1995","EMR","EGY","","","URB","","","42.8 [40.3-45.2]","42.76075","40.33406","45.22279",""
"ebreast5","EQ_DHS","PUBLISHED","2005","EMR","EGY","","","RUR","","","46.2 [42.9-49.4]","46.15122","42.92045","49.41465",""
"ebreast5","EQ_DHS","PUBLISHED","2011","AFR","ETH","","","URB","","","59.5 [51.9-66.6]","59.45207","51.93118","66.55410",""
"ebreast5","EQ_DHS","PUBLISHED","2012","AFR","GAB","","","RUR","","","33.5 [29.8-37.5]","33.52240","29.75073","37.51686",""
