"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"fps","EQ_DHS","PUBLISHED","1998","AFR","BFA","","","","","BFADHS199801","","56.2 [48.7-63.4]","56.00000","49.00000","63.00000",""
"fps","EQ_DHS","PUBLISHED","1998","AFR","BFA","","","","","BFADHS199805","","No data","","","","Not available."
"fps","EQ_DHS","PUBLISHED","2008","AMR","BOL","","","","","BOLDHS200808","","No data","","","","Not available."
"fps","EQ_MICS","PUBLISHED","2011","EUR","BIH","","","","","BIHMICS201102","","88.8 [84.8-91.9]","89.00000","85.00000","92.00000",""
"fps","EQ_MICS","PUBLISHED","2000","AFR","BWA","","","","","BWAMICS200001","","No data","","","","Not available."
"fps","EQ_MICS","PUBLISHED","2010","SEAR","BTN","","","","","BTNMICS201004","","88.8 [81.7-93.3]","89.00000","82.00000","93.00000",""
"fps","EQ_DHS","PUBLISHED","2010","AFR","BFA","","","","","BFADHS201012","","No data","","","","Not available."
"fps","EQ_DHS","PUBLISHED","1998","AMR","BOL","","","","","BOLDHS199804","","59.9 [54.0-65.5]","60.00000","54.00000","65.00000",""
"fps","EQ_MICS","PUBLISHED","2015","AMR","BLZ","","","","","BLZMICS201504","","64.2 [58.2-69.8]","64.00000","58.00000","70.00000",""
"fps","EQ_DHS","PUBLISHED","2017","AFR","BEN","","","","","BENDHS201706","","14.1 [10.2-19.3]","14.00000","10.00000","19.00000",""
"fps","EQ_DHS","PUBLISHED","2011","AFR","BEN","","","","","BENDHS201112","","31.1 [27.2-35.3]","31.00000","27.00000","35.00000",""
"fps","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","","","BENDHS200608","","54.4 [48.8-59.9]","54.00000","49.00000","60.00000",""
"fps","EQ_MICS","PUBLISHED","2006","SEAR","BGD","","","","","BGDMICS200603","","No data","","","","Not available."
"fps","EQ_DHS","PUBLISHED","2011","AFR","BEN","","","","","BENDHS201105","","36.3 [30.2-42.8]","36.00000","30.00000","43.00000",""
"fps","EQ_MICS","PUBLISHED","2012","AMR","BRB","","","","","BRBMICS201202","","82.9 [75.0-88.7]","83.00000","75.00000","89.00000",""
"fps","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","","ARMDHS200001","","85.3 [80.7-89.0]","85.00000","81.00000","89.00000",""
"fps","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","","","BGDDHS199605","","84.7 [82.7-86.6]","85.00000","83.00000","87.00000",""
"fps","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","","AZEDHS200608","","77.4 [72.8-81.4]","77.00000","73.00000","81.00000",""
"fps","EQ_DHS","PUBLISHED","2015","EUR","ARM","","","","","ARMDHS201508","","64.6 [57.7-71.0]","65.00000","58.00000","71.00000",""
"fps","EQ_MICS","PUBLISHED","2012","SEAR","BGD","","","","","BGDMICS201207","","78.6 [76.0-80.9]","79.00000","76.00000","81.00000",""
"fps","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","","","ARMDHS200508","","83.7 [78.6-87.8]","84.00000","79.00000","88.00000",""
"fps","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","","AGODHS201509","","25.7 [18.2-34.9]","26.00000","18.00000","35.00000",""
"fps","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","","AGODHS201501","","34.6 [28.6-41.2]","35.00000","29.00000","41.00000",""
"fps","EQ_DHS","PUBLISHED","2015","EUR","ARM","","","","","ARMDHS201510","","92.6 [88.7-95.2]","93.00000","89.00000","95.00000",""
"fps","EQ_MICS","PUBLISHED","2011","AMR","ARG","","","","","ARGMICS201105","","No data","","","","Not available."
"fps","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201531","","41.7 [33.1-50.9]","42.00000","33.00000","51.00000",""
"fps","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201522","","29.1 [23.1-36.0]","29.00000","23.00000","36.00000",""
"fps","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201505","","61.9 [55.6-67.8]","62.00000","56.00000","68.00000",""
"fps","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","AFGMICS201002","","No data","","","","Not available."
"fps","EQ_DHS","PUBLISHED","2003","AFR","BFA","","","","","BFADHS200314","","65.6 [59.0-71.7]","66.00000","59.00000","72.00000",""
"fps","EQ_DHS","PUBLISHED","2000","WPR","KHM","","","","","KHMDHS200003","","40.4 [33.1-48.2]","40.00000","33.00000","48.00000",""
"fps","EQ_MICS","PUBLISHED","2006","AFR","BFA","","","","","BFAMICS200612","","No data","","","","Not available."
"fps","EQ_DHS","PUBLISHED","2010","AFR","BFA","","","","","BFADHS201004","","No data","","","","Not available."
"fps","EQ_DHS","PUBLISHED","2010","AFR","BFA","","","","","BFADHS201008","","No data","","","","Not available."
"fps","EQ_DHS","PUBLISHED","2016","AFR","BDI","","","","","BDIDHS201615","","41.3 [33.7-49.5]","41.00000","34.00000","49.00000",""
"fps","EQ_DHS","PUBLISHED","2014","WPR","KHM","","","","","KHMDHS201409","","82.9 [77.6-87.1]","83.00000","78.00000","87.00000",""
"fps","EQ_MICS","PUBLISHED","2000","AFR","BDI","","","","","BDIMICS200001","","No data","","","","Not available."
"fps","EQ_DHS","PUBLISHED","2010","AFR","BDI","","","","","BDIDHS201004","","28.4 [24.4-32.8]","28.00000","24.00000","33.00000",""
"fps","EQ_DHS","PUBLISHED","2014","WPR","KHM","","","","","KHMDHS201401","","86.6 [81.8-90.3]","87.00000","82.00000","90.00000",""
"fps","EQ_DHS","PUBLISHED","2014","AFR","TCD","","","","","TCDDHS201413","","32.0 [24.0-41.1]","32.00000","24.00000","41.00000",""
"fps","EQ_MICS","PUBLISHED","2011","AMR","CRI","","","","","CRIMICS201103","","93.5 [87.5-96.7]","94.00000","88.00000","97.00000",""
