"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","Display Value","Numeric","Low","High","Comments"
"fpsmo","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","RUR","","","No data","","","","Not available."
"fpsmo","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","URB","","","49.3 [44.4-54.1]","49.25920","44.42000","54.11233",""
"fpsmo","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","RUR","","","5.0 [3.3-7.6]","5.02236","3.28435","7.60776",""
"fpsmo","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","URB","","","33.0 [29.9-36.2]","32.99410","29.94792","36.19005",""
"fpsmo","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","RUR","","","25.9 [23.0-29.1]","25.93873","23.03524","29.06997",""
"fpsmo","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","URB","","","23.7 [21.6-26.1]","23.73692","21.56880","26.05058",""
"fpsmo","EQ_MICS","PUBLISHED","2005","AFR","BDI","","","RUR","","","No data","","","","Not available."
"fpsmo","EQ_DHS","PUBLISHED","2010","AFR","BDI","","","URB","","","47.2 [41.9-52.5]","47.15384","41.90833","52.46297",""
"fpsmo","EQ_DHS","PUBLISHED","1996","AFR","BEN","","","RUR","","","5.4 [4.0-7.2]","5.37090","3.95805","7.25000",""
"fpsmo","EQ_MICS","PUBLISHED","2006","AFR","BFA","","","URB","","","56.1 [49.4-62.5]","56.07906","49.43600","62.51118",""
"fpsmo","EQ_DHS","PUBLISHED","2010","AFR","BFA","","","RUR","","","29.9 [27.9-32.1]","29.93515","27.88723","32.06657",""
"fpsmo","EQ_DHS","PUBLISHED","1993","SEAR","BGD","","","URB","","","62.8 [59.7-65.8]","62.79200","59.66592","65.81461",""
"fpsmo","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","RUR","","","61.5 [59.7-63.3]","61.51746","59.66269","63.33935",""
"fpsmo","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","","RUR","","","65.6 [63.9-67.3]","65.63338","63.89618","67.32975",""
"fpsmo","EQ_MICS","PUBLISHED","2006","EUR","BIH","","","URB","","","33.8 [27.1-41.3]","33.84166","27.11512","41.29153",""
"fpsmo","EQ_MICS","PUBLISHED","2011","EUR","BIH","","","RUR","","","No data","","","","Not available."
"fpsmo","EQ_MICS","PUBLISHED","2005","EUR","BLR","","","URB","","","No data","","","","Not available."
"fpsmo","EQ_MICS","PUBLISHED","2012","EUR","BLR","","","RUR","","","No data","","","","Not available."
"fpsmo","EQ_DHS","PUBLISHED","2003","AMR","BOL","","","URB","","","48.9 [46.7-51.2]","48.91855","46.65945","51.18207",""
"fpsmo","EQ_DHS","PUBLISHED","1996","AMR","BRA","","","URB","","","84.1 [82.7-85.4]","84.09686","82.74780","85.35908",""
"fpsmo","EQ_MICS","PUBLISHED","2012","AMR","BRB","","","RUR","","","No data","","","","Not available."
"fpsmo","EQ_MICS","PUBLISHED","2010","SEAR","BTN","","","URB","","","No data","","","","Not available."
