"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"itnch","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201514","","12.9 [7.0-22.6]","13.00000","7.00000","23.00000",""
"itnch","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201515","","11.6 [6.0-21.2]","12.00000","6.00000","21.00000",""
"itnch","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201516","","1.6 [0.2-10.5]","2.00000","0.00000","11.00000",""
"itnch","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201517","","4.2 [1.7-10.0]","4.00000","2.00000","10.00000",""
"itnch","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201530","","6.1 [2.4-14.9]","6.00000","2.00000","15.00000",""
"itnch","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201531","","0.7 [0.3-1.4]","1.00000","0.00000","1.00000",""
"itnch","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201532","","2.9 [1.1-7.1]","3.00000","1.00000","7.00000",""
"itnch","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201533","","4.1 [1.9-8.5]","4.00000","2.00000","9.00000",""
"itnch","EQ_RHS","PUBLISHED","2002","EUR","ALB","","","","","ALBRHS200202","","No data","","","","Not available."
"itnch","EQ_RHS","PUBLISHED","2002","EUR","ALB","","","","","ALBRHS200203","","No data","","","","Not available."
"itnch","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201706","","No data","","","","Not available."
"itnch","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201707","","No data","","","","Not available."
"itnch","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201708","","No data","","","","Not available."
"itnch","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201709","","No data","","","","Not available."
"itnch","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201710","","No data","","","","Not available."
"itnch","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","","DZAMICS201205","","No data","","","","Not available."
"itnch","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","","DZAMICS201206","","No data","","","","Not available."
"itnch","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","","DZAMICS201207","","No data","","","","Not available."
"itnch","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199604","","No data","","","","Not available."
"itnch","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199605","","No data","","","","Not available."
"itnch","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199606","","No data","","","","Not available."
"itnch","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199607","","No data","","","","Not available."
"itnch","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","","AGODHS201504","","23.1 [19.5-27.1]","23.00000","20.00000","27.00000",""
"itnch","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","","AGODHS201505","","16.7 [12.9-21.3]","17.00000","13.00000","21.00000",""
"itnch","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","","AGODHS201506","","20.7 [15.7-26.7]","21.00000","16.00000","27.00000",""
"itnch","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","","AGODHS201507","","17.9 [14.7-21.6]","18.00000","15.00000","22.00000",""
"itnch","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","","AZEDHS200603","","No data","","","","Not available."
"itnch","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","","AZEDHS200604","","No data","","","","Not available."
"itnch","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","","AZEDHS200605","","No data","","","","Not available."
"itnch","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","","AZEDHS200606","","No data","","","","Not available."
"itnch","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","","AZEDHS200607","","No data","","","","Not available."
"itnch","EQ_DHS","PUBLISHED","1993","SEAR","BGD","","","","","BGDDHS199301","","No data","","","","Not available."
"itnch","EQ_DHS","PUBLISHED","1993","SEAR","BGD","","","","","BGDDHS199302","","No data","","","","Not available."
"itnch","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","","","","BGDDHS200401","","No data","","","","Not available."
"itnch","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","","","","BGDDHS200402","","No data","","","","Not available."
"itnch","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","","","","BGDDHS200403","","No data","","","","Not available."
"itnch","EQ_MICS","PUBLISHED","2006","SEAR","BGD","","","","","BGDMICS200605","","No data","","","","Not available."
"itnch","EQ_MICS","PUBLISHED","2006","SEAR","BGD","","","","","BGDMICS200606","","No data","","","","Not available."
"itnch","EQ_DHS","PUBLISHED","2014","SEAR","BGD","","","","","BGDDHS201405","","No data","","","","Not available."
"itnch","EQ_DHS","PUBLISHED","2014","SEAR","BGD","","","","","BGDDHS201406","","No data","","","","Not available."
"itnch","EQ_DHS","PUBLISHED","2014","SEAR","BGD","","","","","BGDDHS201407","","No data","","","","Not available."
"itnch","EQ_MICS","PUBLISHED","2005","EUR","BLR","","","","","BLRMICS200505","","No data","","","","Not available."
"itnch","EQ_MICS","PUBLISHED","2005","EUR","BLR","","","","","BLRMICS200506","","No data","","","","Not available."
"itnch","EQ_MICS","PUBLISHED","2005","EUR","BLR","","","","","BLRMICS200507","","No data","","","","Not available."
"itnch","EQ_MICS","PUBLISHED","2012","EUR","BLR","","","","","BLRMICS201203","","No data","","","","Not available."
"itnch","EQ_MICS","PUBLISHED","2012","EUR","BLR","","","","","BLRMICS201204","","No data","","","","Not available."
"itnch","EQ_MICS","PUBLISHED","2012","EUR","BLR","","","","","BLRMICS201205","","No data","","","","Not available."
"itnch","EQ_MICS","PUBLISHED","2012","EUR","BLR","","","","","BLRMICS201206","","No data","","","","Not available."
"itnch","EQ_MICS","PUBLISHED","2006","AMR","BLZ","","","","","BLZMICS200603","","No data","","","","Not available."
"itnch","EQ_MICS","PUBLISHED","2006","AMR","BLZ","","","","","BLZMICS200604","","No data","","","","Not available."
"itnch","EQ_MICS","PUBLISHED","2006","AMR","BLZ","","","","","BLZMICS200605","","No data","","","","Not available."
"itnch","EQ_MICS","PUBLISHED","2006","AMR","BLZ","","","","","BLZMICS200606","","No data","","","","Not available."
"itnch","EQ_MICS","PUBLISHED","2011","AMR","BLZ","","","","","BLZMICS201104","","No data","","","","Not available."
"itnch","EQ_MICS","PUBLISHED","2011","AMR","BLZ","","","","","BLZMICS201105","","No data","","","","Not available."
"itnch","EQ_MICS","PUBLISHED","2011","AMR","BLZ","","","","","BLZMICS201106","","No data","","","","Not available."
"itnch","EQ_MICS","PUBLISHED","2011","AMR","BLZ","","","","","BLZMICS201107","","No data","","","","Not available."
"itnch","EQ_MICS","PUBLISHED","2015","AMR","BLZ","","","","","BLZMICS201501","","No data","","","","Not available."
"itnch","EQ_MICS","PUBLISHED","2015","AMR","BLZ","","","","","BLZMICS201502","","No data","","","","Not available."
"itnch","EQ_MICS","PUBLISHED","2015","AMR","BLZ","","","","","BLZMICS201503","","No data","","","","Not available."
"itnch","EQ_MICS","PUBLISHED","2015","AMR","BLZ","","","","","BLZMICS201504","","No data","","","","Not available."
"itnch","EQ_MICS","PUBLISHED","2015","AMR","BLZ","","","","","BLZMICS201505","","No data","","","","Not available."
"itnch","EQ_DHS","PUBLISHED","1996","AFR","BEN","","","","","BENDHS199602","","No data","","","","Not available."
"itnch","EQ_DHS","PUBLISHED","1996","AFR","BEN","","","","","BENDHS199603","","No data","","","","Not available."
"itnch","EQ_DHS","PUBLISHED","1996","AFR","BEN","","","","","BENDHS199604","","No data","","","","Not available."
"itnch","EQ_DHS","PUBLISHED","1996","AFR","BEN","","","","","BENDHS199605","","No data","","","","Not available."
"itnch","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","","","BENDHS200608","","29.1 [25.4-33.2]","29.00000","25.00000","33.00000",""
"itnch","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","","","BENDHS200609","","21.8 [16.0-28.9]","22.00000","16.00000","29.00000",""
"itnch","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","","","BENDHS200610","","31.1 [27.7-34.8]","31.00000","28.00000","35.00000",""
"itnch","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","","","BENDHS200611","","19.8 [16.0-24.1]","20.00000","16.00000","24.00000",""
"itnch","EQ_DHS","PUBLISHED","2011","AFR","BEN","","","","","BENDHS201101","","71.7 [67.6-75.5]","72.00000","68.00000","76.00000",""
"itnch","EQ_DHS","PUBLISHED","2011","AFR","BEN","","","","","BENDHS201102","","72.6 [68.7-76.1]","73.00000","69.00000","76.00000",""
"itnch","EQ_DHS","PUBLISHED","2011","AFR","BEN","","","","","BENDHS201103","","71.1 [68.0-74.0]","71.00000","68.00000","74.00000",""
"itnch","EQ_DHS","PUBLISHED","2011","AFR","BEN","","","","","BENDHS201104","","67.0 [62.8-70.9]","67.00000","63.00000","71.00000",""
"itnch","EQ_MICS","PUBLISHED","2014","AFR","BEN","","","","","BENMICS201411","","63.9 [58.5-69.0]","64.00000","58.00000","69.00000",""
"itnch","EQ_MICS","PUBLISHED","2014","AFR","BEN","","","","","BENMICS201412","","75.1 [69.5-80.0]","75.00000","69.00000","80.00000",""
"itnch","EQ_DHS","PUBLISHED","2017","AFR","BEN","","","","","BENDHS201703","","85.7 [82.6-88.4]","86.00000","83.00000","88.00000",""
"itnch","EQ_DHS","PUBLISHED","2017","AFR","BEN","","","","","BENDHS201704","","70.2 [65.5-74.4]","70.00000","66.00000","74.00000",""
"itnch","EQ_DHS","PUBLISHED","2017","AFR","BEN","","","","","BENDHS201705","","70.4 [65.9-74.5]","70.00000","66.00000","75.00000",""
"itnch","EQ_DHS","PUBLISHED","2017","AFR","BEN","","","","","BENDHS201706","","78.5 [74.3-82.1]","78.00000","74.00000","82.00000",""
"itnch","EQ_MICS","PUBLISHED","2010","SEAR","BTN","","","","","BTNMICS201003","","No data","","","","Not available."
"itnch","EQ_MICS","PUBLISHED","2010","SEAR","BTN","","","","","BTNMICS201004","","No data","","","","Not available."
"itnch","EQ_MICS","PUBLISHED","2010","SEAR","BTN","","","","","BTNMICS201005","","No data","","","","Not available."
"itnch","EQ_MICS","PUBLISHED","2010","SEAR","BTN","","","","","BTNMICS201006","","No data","","","","Not available."
"itnch","EQ_MICS","PUBLISHED","2010","SEAR","BTN","","","","","BTNMICS201019","","No data","","","","Not available."
"itnch","EQ_MICS","PUBLISHED","2010","SEAR","BTN","","","","","BTNMICS201020","","No data","","","","Not available."
"itnch","EQ_DHS","PUBLISHED","1998","AMR","BOL","","","","","BOLDHS199801","","No data","","","","Not available."
"itnch","EQ_DHS","PUBLISHED","1998","AMR","BOL","","","","","BOLDHS199802","","No data","","","","Not available."
"itnch","EQ_DHS","PUBLISHED","1998","AMR","BOL","","","","","BOLDHS199802","","No data","","","","Not available."
