"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"itnwm","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","AFGMICS201005","","No data","","","","Not available."
"itnwm","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","AFGMICS201007","","No data","","","","Not available."
"itnwm","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201501","","2.3 [0.6-8.6]","2.00000","1.00000","9.00000",""
"itnwm","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201503","","10.7 [3.4-29.0]","11.00000","3.00000","29.00000",""
"itnwm","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201510","","0.0 [0.0-0.0]","0.00000","0.00000","0.00000",""
"itnwm","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201512","","1.9 [0.7-4.9]","2.00000","1.00000","5.00000",""
"itnwm","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201517","","6.1 [2.6-13.9]","6.00000","3.00000","14.00000",""
"itnwm","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201519","","2.0 [0.5-7.7]","2.00000","1.00000","8.00000",""
"itnwm","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201526","","44.6 [25.9-64.9]","45.00000","26.00000","65.00000","Attention - Estimate is based on 25-49 cases."
"itnwm","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201528","","1.8 [0.7-4.8]","2.00000","1.00000","5.00000",""
"itnwm","EQ_MICS","PUBLISHED","2000","EUR","ALB","","","","ALBMICS200001","","No data","","","","Not available."
"itnwm","EQ_MICS","PUBLISHED","2000","EUR","ALB","","","","ALBMICS200003","","No data","","","","Not available."
