"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","Display Value","Numeric","Low","High","Comments"
"obesewm","EQ_MICS","PUBLISHED","2010","EMR","AFG","","RUR","","","No data","","","","Not available."
"obesewm","EQ_MICS","PUBLISHED","2010","EMR","AFG","","URB","","","No data","","","","Not available."
"obesewm","EQ_DHS","PUBLISHED","2000","EUR","ARM","","RUR","","","15.3 [14.0-16.7]","15.31975","14.02441","16.71149",""
"obesewm","EQ_DHS","PUBLISHED","2000","EUR","ARM","","URB","","","13.3 [11.9-14.9]","13.34248","11.88669","14.94631",""
"obesewm","EQ_DHS","PUBLISHED","2010","EUR","ARM","","RUR","","","No data","","","","Not available."
"obesewm","EQ_DHS","PUBLISHED","2010","EUR","ARM","","URB","","","No data","","","","Not available."
"obesewm","EQ_MICS","PUBLISHED","2005","AFR","BDI","","RUR","","","No data","","","","Not available."
"obesewm","EQ_DHS","PUBLISHED","2011","AFR","BEN","","URB","","","10.4 [9.2-11.7]","10.35280","9.15466","11.68758",""
"obesewm","EQ_DHS","PUBLISHED","2003","AFR","BFA","","RUR","","","0.6 [0.4-0.9]","0.55710","0.35477","0.87382",""
"obesewm","EQ_DHS","PUBLISHED","2003","AFR","BFA","","URB","","","8.7 [7.4-10.1]","8.65672","7.41681","10.08134",""
"obesewm","EQ_DHS","PUBLISHED","2010","AFR","BFA","","RUR","","","0.9 [0.7-1.3]","0.94328","0.68320","1.30107",""
"obesewm","EQ_DHS","PUBLISHED","2010","AFR","BFA","","URB","","","8.5 [7.2-10.1]","8.54294","7.21612","10.08720",""
"obesewm","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","RUR","","","0.3 [0.2-0.6]","0.32711","0.18059","0.59178",""
"obesewm","EQ_DHS","PUBLISHED","2011","SEAR","BGD","","URB","","","6.4 [5.5-7.5]","6.42538","5.53277","7.45063",""
"obesewm","EQ_DHS","PUBLISHED","2014","SEAR","BGD","","RUR","","","2.6 [2.2-3.2]","2.64146","2.21240","3.15105",""
"obesewm","EQ_DHS","PUBLISHED","2014","SEAR","BGD","","URB","","","8.8 [7.5-10.3]","8.79815","7.51951","10.27008",""
"obesewm","EQ_MICS","PUBLISHED","2011","EUR","BIH","","RUR","","","No data","","","","Not available."
"obesewm","EQ_MICS","PUBLISHED","2011","EUR","BIH","","URB","","","No data","","","","Not available."
"obesewm","EQ_DHS","PUBLISHED","1998","AMR","BOL","","URB","","","14.3 [12.8-16.0]","14.30927","12.76607","16.00479",""
"obesewm","EQ_DHS","PUBLISHED","2008","AMR","BOL","","RUR","","","14.1 [12.8-15.4]","14.09120","12.84391","15.43815",""
"obesewm","EQ_DHS","PUBLISHED","2008","AMR","BOL","","URB","","","19.1 [18.2-20.1]","19.14256","18.23038","20.08918",""
"obesewm","EQ_MICS","PUBLISHED","2012","AMR","BRB","","RUR","","","No data","","","","Not available."
"obesewm","EQ_MICS","PUBLISHED","2012","AMR","BRB","","URB","","","No data","","","","Not available."
"obesewm","EQ_MICS","PUBLISHED","2006","AFR","CIV","","RUR","","","No data","","","","Not available."
"obesewm","EQ_MICS","PUBLISHED","2006","AFR","CIV","","URB","","","No data","","","","Not available."
"obesewm","EQ_DHS","PUBLISHED","1998","AFR","CMR","","RUR","","","1.7 [0.9-3.0]","1.67015","0.93002","2.98154",""
"obesewm","EQ_DHS","PUBLISHED","1998","AFR","CMR","","URB","","","7.6 [5.3-10.7]","7.59185","5.34237","10.68162",""
"obesewm","EQ_MICS","PUBLISHED","2006","AFR","CMR","","RUR","","","No data","","","","Not available."
"obesewm","EQ_DHS","PUBLISHED","2013","AFR","COD","","URB","","","7.1 [6.0-8.4]","7.07499","5.96779","8.36931",""
"obesewm","EQ_DHS","PUBLISHED","2011","AFR","COG","","RUR","","","3.7 [2.6-5.4]","3.74224","2.58829","5.38224",""
"obesewm","EQ_DHS","PUBLISHED","2011","AFR","COG","","URB","","","11.2 [9.5-13.2]","11.19279","9.48328","13.16565",""
"obesewm","EQ_DHS","PUBLISHED","2000","AMR","COL","","RUR","","","9.2 [7.4-11.5]","9.24007","7.36409","11.53444",""
"obesewm","EQ_DHS","PUBLISHED","2000","AMR","COL","","URB","","","11.0 [9.8-12.4]","11.02650","9.75764","12.43762",""
"obesewm","EQ_DHS","PUBLISHED","2010","AMR","COL","","RUR","","","15.0 [14.1-15.9]","14.95167","14.07193","15.87624",""
"obesewm","EQ_RHS","PUBLISHED","1992","AMR","CRI","","URB","","","No data","","","","Not available."
"obesewm","EQ_MICS","PUBLISHED","2006","AMR","CUB","","RUR","","","No data","","","","Not available."
"obesewm","EQ_MICS","PUBLISHED","2006","AMR","CUB","","URB","","","No data","","","","Not available."
"obesewm","EQ_MICS","PUBLISHED","2014","AMR","CUB","","RUR","","","No data","","","","Not available."
"obesewm","EQ_MICS","PUBLISHED","2014","AMR","CUB","","URB","","","No data","","","","Not available."
"obesewm","EQ_DHS","PUBLISHED","1996","AMR","DOM","","RUR","","","9.7 [8.5-11.1]","9.72612","8.51327","11.09082",""
"obesewm","EQ_MICS","PUBLISHED","2014","AMR","DOM","","URB","","","No data","","","","Not available."
"obesewm","EQ_RHS","PUBLISHED","1994","AMR","ECU","","RUR","","","No data","","","","Not available."
"obesewm","EQ_RHS","PUBLISHED","1994","AMR","ECU","","URB","","","No data","","","","Not available."
"obesewm","EQ_RHS","PUBLISHED","2004","AMR","ECU","","RUR","","","No data","","","","Not available."
"obesewm","EQ_RHS","PUBLISHED","2004","AMR","ECU","","URB","","","No data","","","","Not available."
"obesewm","EQ_DHS","PUBLISHED","2005","AFR","ETH","","RUR","","","0.3 [0.2-0.7]","0.33522","0.15655","0.71632",""
"obesewm","EQ_DHS","PUBLISHED","2005","AFR","ETH","","URB","","","2.3 [1.6-3.2]","2.28808","1.61551","3.23144",""
"obesewm","EQ_DHS","PUBLISHED","2000","AFR","GAB","","RUR","","","2.4 [1.7-3.5]","2.43893","1.70242","3.48278",""
"obesewm","EQ_DHS","PUBLISHED","2000","AFR","GAB","","URB","","","10.0 [8.5-11.7]","9.99608","8.52442","11.68933",""
"obesewm","EQ_MICS","PUBLISHED","2005","EUR","GEO","","RUR","","","No data","","","","Not available."
"obesewm","EQ_DHS","PUBLISHED","2014","AFR","GHA","","RUR","","","8.7 [7.3-10.2]","8.65092","7.29543","10.23048",""
"obesewm","EQ_DHS","PUBLISHED","2014","AFR","GHA","","URB","","","20.7 [18.3-23.4]","20.72437","18.31557","23.35937",""
"obesewm","EQ_DHS","PUBLISHED","2005","AFR","GIN","","RUR","","","1.2 [0.8-1.8]","1.19134","0.80444","1.76103",""
"obesewm","EQ_DHS","PUBLISHED","2005","AFR","GIN","","URB","","","6.9 [4.8-9.9]","6.90249","4.75209","9.92458",""
