"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","DHSMICSGEOREGION","Display Value","Numeric","Low","High","Comments"
"overwgt3","EQ_DHS","PUBLISHED","2000","WPR","KHM","KHMDHS200023","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"overwgt3","EQ_DHS","PUBLISHED","2000","WPR","KHM","KHMDHS200024","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"overwgt3","EQ_DHS","PUBLISHED","1999","AMR","DOM","DOMDHS199904","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1999","AMR","DOM","DOMDHS199905","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1999","AMR","DOM","DOMDHS199906","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1999","AMR","DOM","DOMDHS199907","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1994","SEAR","IDN","IDNDHS199410","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1994","SEAR","IDN","IDNDHS199411","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1994","SEAR","IDN","IDNDHS199412","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1994","SEAR","IDN","IDNDHS199413","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1994","SEAR","IDN","IDNDHS199414","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1994","SEAR","IDN","IDNDHS199427","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1997","SEAR","IDN","IDNDHS199707","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1997","SEAR","IDN","IDNDHS199708","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1997","SEAR","IDN","IDNDHS199709","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1997","SEAR","IDN","IDNDHS199710","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1997","SEAR","IDN","IDNDHS199723","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1997","SEAR","IDN","IDNDHS199724","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1997","SEAR","IDN","IDNDHS199725","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1997","SEAR","IDN","IDNDHS199726","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1997","SEAR","IDN","IDNDHS199727","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2002","SEAR","IDN","IDNDHS200211","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2002","SEAR","IDN","IDNDHS200212","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2002","SEAR","IDN","IDNDHS200213","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2002","SEAR","IDN","IDNDHS200214","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2007","SEAR","IDN","IDNDHS200708","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2007","SEAR","IDN","IDNDHS200709","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2007","SEAR","IDN","IDNDHS200710","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2007","SEAR","IDN","IDNDHS200711","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2007","SEAR","IDN","IDNDHS200712","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2007","SEAR","IDN","IDNDHS200725","No data","","","","Not available."
