"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"vdpt","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","AFGMICS201001","","51.1 [45.3-56.9]","51.00000","45.00000","57.00000",""
"vdpt","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","AFGMICS201002","","43.8 [32.6-55.6]","44.00000","33.00000","56.00000",""
"vdpt","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","AFGMICS201003","","46.5 [37.1-56.2]","47.00000","37.00000","56.00000",""
"vdpt","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","AFGMICS201004","","34.3 [28.7-40.3]","34.00000","29.00000","40.00000",""
"vdpt","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","AFGMICS201005","","53.4 [42.4-64.0]","53.00000","42.00000","64.00000",""
"vdpt","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","AFGMICS201006","","5.1 [2.6-9.7]","5.00000","3.00000","10.00000",""
"vdpt","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","AFGMICS201007","","41.6 [33.1-50.6]","42.00000","33.00000","51.00000",""
"vdpt","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","AFGMICS201008","","43.2 [32.0-55.0]","43.00000","32.00000","55.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201501","","73.1 [63.8-80.8]","73.00000","64.00000","81.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201502","","71.6 [60.6-80.5]","72.00000","61.00000","81.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201503","","76.1 [69.4-81.8]","76.00000","69.00000","82.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201504","","80.0 [63.6-90.2]","80.00000","64.00000","90.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201505","","41.5 [30.4-53.5]","41.00000","30.00000","53.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201506","","78.6 [72.2-83.9]","79.00000","72.00000","84.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201507","","65.5 [54.4-75.2]","66.00000","54.00000","75.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201508","","59.0 [46.2-70.7]","59.00000","46.00000","71.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201509","","52.7 [33.7-70.9]","53.00000","34.00000","71.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201510","","78.3 [68.7-85.5]","78.00000","69.00000","86.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201511","","39.1 [29.5-49.6]","39.00000","29.00000","50.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201512","","77.1 [70.5-82.5]","77.00000","71.00000","83.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201513","","45.2 [38.0-52.7]","45.00000","38.00000","53.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201514","","49.3 [40.6-58.0]","49.00000","41.00000","58.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201515","","42.7 [29.4-57.1]","43.00000","29.00000","57.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201516","","0.7 [0.2-2.2]","1.00000","0.00000","2.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201517","","82.4 [71.3-89.8]","82.00000","71.00000","90.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201518","","66.5 [57.9-74.1]","66.00000","58.00000","74.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201519","","57.9 [46.8-68.3]","58.00000","47.00000","68.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201520","","38.5 [24.9-54.1]","38.00000","25.00000","54.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201521","","53.0 [44.7-61.1]","53.00000","45.00000","61.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201522","","45.0 [33.9-56.6]","45.00000","34.00000","57.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201523","","33.0 [23.1-44.6]","33.00000","23.00000","45.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201524","","44.5 [34.7-54.8]","45.00000","35.00000","55.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201525","","2.1 [0.8-5.2]","2.00000","1.00000","5.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201526","","26.8 [11.8-50.1]","27.00000","12.00000","50.00000","Attention - Estimate is based on 25-49 cases."
"vdpt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201527","","24.8 [13.0-42.0]","25.00000","13.00000","42.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201528","","61.3 [44.7-75.7]","61.00000","45.00000","76.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201529","","81.9 [59.4-93.3]","82.00000","59.00000","93.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201530","","49.9 [39.7-60.1]","50.00000","40.00000","60.00000",""
