"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"vfull","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","AFGMICS201007","","39.9 [31.7-48.8]","40.00000","32.00000","49.00000",""
"vfull","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201513","","16.4 [10.7-24.3]","16.00000","11.00000","24.00000",""
"vfull","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201514","","27.2 [20.3-35.4]","27.00000","20.00000","35.00000",""
"vfull","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201516","","0.7 [0.2-2.2]","1.00000","0.00000","2.00000",""
"vfull","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201529","","69.2 [57.8-78.7]","69.00000","58.00000","79.00000",""
"vfull","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201530","","21.7 [14.8-30.6]","22.00000","15.00000","31.00000",""
"vfull","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201531","","51.2 [38.4-63.9]","51.00000","38.00000","64.00000",""
"vfull","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201532","","55.8 [41.3-69.3]","56.00000","41.00000","69.00000",""
"vfull","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201533","","27.7 [16.7-42.3]","28.00000","17.00000","42.00000",""
"vfull","EQ_MICS","PUBLISHED","2000","EUR","ALB","","","","","ALBMICS200002","","No data","","","","Not available."
"vfull","EQ_MICS","PUBLISHED","2000","EUR","ALB","","","","","ALBMICS200003","","No data","","","","Not available."
"vfull","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","","","ALBMICS200504","","No data","","","","Not available."
"vfull","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201708","","No data","","","","Not available."
"vfull","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201709","","No data","","","","Not available."
"vfull","EQ_MICS","PUBLISHED","2000","AFR","DZA","","","","","DZAMICS200003","","No data","","","","Not available."
"vfull","EQ_MICS","PUBLISHED","2000","AFR","DZA","","","","","DZAMICS200004","","No data","","","","Not available."
"vfull","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","","DZAMICS201202","","90.1 [85.0-93.6]","90.00000","85.00000","94.00000",""
"vfull","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","","DZAMICS201203","","86.4 [82.4-89.5]","86.00000","82.00000","90.00000",""
"vfull","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","","DZAMICS201204","","68.1 [62.6-73.1]","68.00000","63.00000","73.00000",""
"vfull","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","","DZAMICS201205","","90.8 [87.2-93.5]","91.00000","87.00000","94.00000",""
"vfull","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199607","","No data","","","","Not available."
"vfull","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199608","","No data","","","","Not available."
"vfull","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199609","","No data","","","","Not available."
"vfull","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199610","","No data","","","","Not available."
"vfull","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199611","","No data","","","","Not available."
"vfull","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","","AGODHS201509","","26.3 [19.6-34.4]","26.00000","20.00000","34.00000",""
"vfull","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","","AGODHS201510","","26.7 [19.7-35.1]","27.00000","20.00000","35.00000",""
"vfull","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","","AGODHS201511","","10.4 [6.4-16.3]","10.00000","6.00000","16.00000",""
"vfull","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","","AGODHS201512","","10.7 [5.5-19.7]","11.00000","6.00000","20.00000",""
"vfull","EQ_MICS","PUBLISHED","2011","AMR","ARG","","","","","ARGMICS201104","","No data","","","","Not available."
"vfull","EQ_MICS","PUBLISHED","2011","AMR","ARG","","","","","ARGMICS201105","","No data","","","","Not available."
"vfull","EQ_MICS","PUBLISHED","2011","AMR","ARG","","","","","ARGMICS201106","","No data","","","","Not available."
"vfull","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","","AZEDHS200601","","67.0 [56.1-76.4]","67.00000","56.00000","76.00000","Attention - Estimate is based on 25-49 cases."
