"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"vita","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","AFGMICS201007","","52.8 [45.5-60.0]","53.00000","45.00000","60.00000",""
"vita","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","AFGMICS201008","","34.7 [28.6-41.3]","35.00000","29.00000","41.00000",""
"vita","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201505","","31.8 [27.0-37.1]","32.00000","27.00000","37.00000",""
"vita","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201506","","60.6 [54.2-66.6]","61.00000","54.00000","67.00000",""
"vita","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201520","","9.1 [5.5-14.9]","9.00000","5.00000","15.00000",""
"vita","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201522","","12.3 [8.6-17.2]","12.00000","9.00000","17.00000",""
"vita","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201523","","91.7 [86.1-95.2]","92.00000","86.00000","95.00000",""
"vita","EQ_RHS","PUBLISHED","2002","EUR","ALB","","","","","ALBRHS200201","","No data","","","","Not available."
"vita","EQ_RHS","PUBLISHED","2002","EUR","ALB","","","","","ALBRHS200202","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201703","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201705","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201706","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","","DZAMICS201203","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","","DZAMICS201205","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","","DZAMICS201206","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199602","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199616","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199617","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","","AGODHS201501","","6.7 [3.6-12.0]","7.00000","4.00000","12.00000",""
"vita","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","","AGODHS201502","","7.6 [5.8-10.0]","8.00000","6.00000","10.00000",""
"vita","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","","AGODHS201517","","3.6 [2.3-5.8]","4.00000","2.00000","6.00000",""
"vita","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","","AGODHS201518","","3.7 [2.4-5.7]","4.00000","2.00000","6.00000",""
"vita","EQ_MICS","PUBLISHED","2011","AMR","ARG","","","","","ARGMICS201106","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","","ARMDHS200010","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","","ARMDHS200011","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","","","ARMDHS200510","","0.0 [0.0-0.0]","0.00000","0.00000","0.00000",""
"vita","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","","","ARMDHS200511","","0.0 [0.0-0.0]","0.00000","0.00000","0.00000",""
"vita","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","","","ARMDHS201010","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","","","ARMDHS201011","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2015","EUR","ARM","","","","","ARMDHS201511","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","","AZEDHS200601","","20.5 [13.7-29.6]","21.00000","14.00000","30.00000",""
"vita","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","","AZEDHS200603","","4.5 [2.3-8.5]","5.00000","2.00000","9.00000",""
"vita","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","","AZEDHS200604","","11.8 [8.5-16.2]","12.00000","8.00000","16.00000",""
"vita","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","","","","BGDDHS200402","","80.3 [76.8-83.4]","80.00000","77.00000","83.00000",""
"vita","EQ_MICS","PUBLISHED","2006","SEAR","BGD","","","","","BGDMICS200603","","84.2 [82.7-85.6]","84.00000","83.00000","86.00000",""
"vita","EQ_MICS","PUBLISHED","2006","SEAR","BGD","","","","","BGDMICS200605","","84.8 [83.6-86.1]","85.00000","84.00000","86.00000",""
"vita","EQ_MICS","PUBLISHED","2006","SEAR","BGD","","","","","BGDMICS200606","","81.9 [79.5-84.0]","82.00000","80.00000","84.00000",""
"vita","EQ_MICS","PUBLISHED","2012","SEAR","BGD","","","","","BGDMICS201207","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2014","SEAR","BGD","","","","","BGDDHS201404","","64.5 [59.8-68.9]","64.00000","60.00000","69.00000",""
"vita","EQ_DHS","PUBLISHED","2014","SEAR","BGD","","","","","BGDDHS201405","","56.6 [49.9-63.1]","57.00000","50.00000","63.00000",""
"vita","EQ_DHS","PUBLISHED","2014","SEAR","BGD","","","","","BGDDHS201406","","65.5 [59.0-71.4]","65.00000","59.00000","71.00000",""
"vita","EQ_MICS","PUBLISHED","2005","EUR","BLR","","","","","BLRMICS200503","","No data","","","","Not available."
