"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"vmsl","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","AFGMICS201001","","71.8 [65.2-77.6]","72.00000","65.00000","78.00000",""
"vmsl","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","AFGMICS201002","","55.2 [43.9-66.1]","55.00000","44.00000","66.00000",""
"vmsl","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","AFGMICS201003","","70.5 [62.5-77.4]","70.00000","62.00000","77.00000",""
"vmsl","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","AFGMICS201004","","50.9 [43.6-58.3]","51.00000","44.00000","58.00000",""
"vmsl","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","AFGMICS201005","","62.7 [52.2-72.1]","63.00000","52.00000","72.00000",""
"vmsl","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","AFGMICS201006","","19.8 [11.3-32.4]","20.00000","11.00000","32.00000",""
"vmsl","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","AFGMICS201007","","59.7 [47.4-71.0]","60.00000","47.00000","71.00000",""
"vmsl","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","AFGMICS201008","","51.4 [39.4-63.2]","51.00000","39.00000","63.00000",""
"vmsl","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201501","","72.8 [63.0-80.8]","73.00000","63.00000","81.00000",""
"vmsl","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201502","","70.3 [61.0-78.3]","70.00000","61.00000","78.00000",""
"vmsl","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201503","","73.1 [66.2-79.0]","73.00000","66.00000","79.00000",""
"vmsl","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201504","","82.4 [68.4-91.0]","82.00000","68.00000","91.00000",""
"vmsl","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201505","","46.5 [35.0-58.4]","46.00000","35.00000","58.00000",""
"vmsl","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201506","","69.8 [60.6-77.7]","70.00000","61.00000","78.00000",""
"vmsl","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201507","","72.6 [65.6-78.7]","73.00000","66.00000","79.00000",""
"vmsl","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201508","","64.0 [51.9-74.5]","64.00000","52.00000","74.00000",""
"vmsl","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201509","","56.4 [39.2-72.2]","56.00000","39.00000","72.00000",""
"vmsl","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201510","","72.1 [61.8-80.5]","72.00000","62.00000","80.00000",""
"vmsl","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201511","","38.7 [28.4-50.1]","39.00000","28.00000","50.00000",""
"vmsl","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201512","","83.6 [77.0-88.6]","84.00000","77.00000","89.00000",""
"vmsl","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201513","","49.8 [45.1-54.5]","50.00000","45.00000","54.00000",""
"vmsl","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201514","","39.3 [29.9-49.6]","39.00000","30.00000","50.00000",""
"vmsl","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201515","","42.1 [28.0-57.5]","42.00000","28.00000","57.00000",""
"vmsl","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201516","","1.4 [0.5-3.9]","1.00000","0.00000","4.00000",""
"vmsl","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201517","","84.9 [75.9-90.9]","85.00000","76.00000","91.00000",""
"vmsl","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201518","","74.0 [63.1-82.6]","74.00000","63.00000","83.00000",""
"vmsl","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201519","","46.8 [33.4-60.8]","47.00000","33.00000","61.00000",""
"vmsl","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201520","","44.3 [31.4-58.1]","44.00000","31.00000","58.00000",""
"vmsl","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201521","","64.0 [57.0-70.5]","64.00000","57.00000","70.00000",""
"vmsl","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201522","","60.9 [53.2-68.0]","61.00000","53.00000","68.00000",""
"vmsl","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201523","","39.4 [32.1-47.2]","39.00000","32.00000","47.00000",""
"vmsl","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201524","","46.8 [37.3-56.6]","47.00000","37.00000","57.00000",""
"vmsl","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201525","","3.5 [1.9-6.5]","4.00000","2.00000","7.00000",""
"vmsl","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201526","","46.5 [26.9-67.3]","47.00000","27.00000","67.00000","Attention - Estimate is based on 25-49 cases."
"vmsl","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201527","","22.2 [12.5-36.2]","22.00000","12.00000","36.00000",""
"vmsl","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201528","","57.1 [39.1-73.4]","57.00000","39.00000","73.00000",""
"vmsl","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201529","","77.8 [71.3-83.2]","78.00000","71.00000","83.00000",""
"vmsl","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201530","","46.9 [37.8-56.1]","47.00000","38.00000","56.00000",""
"vmsl","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201531","","79.4 [69.0-86.9]","79.00000","69.00000","87.00000",""
"vmsl","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201532","","79.8 [66.5-88.6]","80.00000","67.00000","89.00000",""
"vmsl","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201533","","37.7 [24.2-53.4]","38.00000","24.00000","53.00000",""
"vmsl","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201534","","67.8 [58.1-76.2]","68.00000","58.00000","76.00000",""
"vmsl","EQ_MICS","PUBLISHED","2000","EUR","ALB","","","","","ALBMICS200001","","No data","","","","Not available."
"vmsl","EQ_MICS","PUBLISHED","2000","EUR","ALB","","","","","ALBMICS200002","","No data","","","","Not available."
"vmsl","EQ_MICS","PUBLISHED","2000","EUR","ALB","","","","","ALBMICS200003","","No data","","","","Not available."
"vmsl","EQ_RHS","PUBLISHED","2002","EUR","ALB","","","","","ALBRHS200201","","No data","","","","Not available."
"vmsl","EQ_RHS","PUBLISHED","2002","EUR","ALB","","","","","ALBRHS200202","","No data","","","","Not available."
"vmsl","EQ_RHS","PUBLISHED","2002","EUR","ALB","","","","","ALBRHS200203","","No data","","","","Not available."
"vmsl","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","","","ALBMICS200501","","No data","","","","Not available."
"vmsl","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","","","ALBMICS200502","","No data","","","","Not available."
"vmsl","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","","","ALBMICS200503","","No data","","","","Not available."
"vmsl","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","","","ALBMICS200504","","No data","","","","Not available."
"vmsl","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","","","ALBDHS200801","","97.0 [87.8-99.3]","97.00000","88.00000","99.00000",""
"vmsl","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","","","ALBDHS200802","","95.2 [90.8-97.5]","95.00000","91.00000","98.00000",""
"vmsl","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","","","ALBDHS200803","","100.0 [100.0-100.0]","100.00000","100.00000","100.00000",""
"vmsl","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","","","ALBDHS200804","","100.0 [100.0-100.0]","100.00000","100.00000","100.00000","Attention - Estimate is based on 25-49 cases."
"vmsl","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201701","","No data","","","","Not available."
"vmsl","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201702","","No data","","","","Not available."
"vmsl","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201703","","No data","","","","Not available."
"vmsl","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201704","","No data","","","","Not available."
"vmsl","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201705","","No data","","","","Not available."
"vmsl","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201706","","No data","","","","Not available."
"vmsl","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201707","","No data","","","","Not available."
"vmsl","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201708","","No data","","","","Not available."
"vmsl","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201709","","No data","","","","Not available."
"vmsl","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201710","","No data","","","","Not available."
"vmsl","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201711","","No data","","","","Not available."
"vmsl","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201712","","No data","","","","Not available."
"vmsl","EQ_MICS","PUBLISHED","2000","AFR","DZA","","","","","DZAMICS200001","","No data","","","","Not available."
"vmsl","EQ_MICS","PUBLISHED","2000","AFR","DZA","","","","","DZAMICS200002","","No data","","","","Not available."
"vmsl","EQ_MICS","PUBLISHED","2000","AFR","DZA","","","","","DZAMICS200003","","No data","","","","Not available."
"vmsl","EQ_MICS","PUBLISHED","2000","AFR","DZA","","","","","DZAMICS200004","","No data","","","","Not available."
"vmsl","EQ_MICS","PUBLISHED","2006","AFR","DZA","","","","","DZAMICS200601","","No data","","","","Not available."
"vmsl","EQ_MICS","PUBLISHED","2006","AFR","DZA","","","","","DZAMICS200602","","No data","","","","Not available."
"vmsl","EQ_MICS","PUBLISHED","2006","AFR","DZA","","","","","DZAMICS200603","","No data","","","","Not available."
"vmsl","EQ_MICS","PUBLISHED","2006","AFR","DZA","","","","","DZAMICS200604","","No data","","","","Not available."
"vmsl","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","","DZAMICS201201","","93.1 [89.5-95.5]","93.00000","89.00000","96.00000",""
"vmsl","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","","DZAMICS201202","","91.9 [86.8-95.1]","92.00000","87.00000","95.00000",""
"vmsl","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","","DZAMICS201203","","91.3 [87.6-94.0]","91.00000","88.00000","94.00000",""
"vmsl","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","","DZAMICS201204","","75.2 [70.1-79.6]","75.00000","70.00000","80.00000",""
"vmsl","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","","DZAMICS201205","","94.1 [91.0-96.2]","94.00000","91.00000","96.00000",""
"vmsl","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","","DZAMICS201206","","85.4 [81.4-88.7]","85.00000","81.00000","89.00000",""
"vmsl","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","","DZAMICS201207","","88.0 [84.2-91.0]","88.00000","84.00000","91.00000",""
"vmsl","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199602","","No data","","","","Not available."
"vmsl","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199603","","No data","","","","Not available."
"vmsl","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199604","","No data","","","","Not available."
