"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","Display Value","Numeric","Low","High","Comments"
"wast3","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","RUR","","","2.8 [1.5-5.0]","2.77087","1.51047","5.02929",""
"wast3","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","URB","","","3.6 [1.9-6.7]","3.61428","1.91125","6.73067",""
"wast3","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","URB","","","2.7 [1.6-4.6]","2.72953","1.59315","4.63828",""
"wast3","EQ_DHS","PUBLISHED","2003","AFR","BFA","","","RUR","","","29.8 [28.1-31.7]","29.83339","28.06906","31.65981",""
"wast3","EQ_DHS","PUBLISHED","2003","AFR","BFA","","","URB","","","19.5 [16.4-22.9]","19.45846","16.44759","22.86963",""
"wast3","EQ_DHS","PUBLISHED","2011","SEAR","BGD","","","RUR","","","16.0 [14.3-17.8]","15.98164","14.30744","17.81103",""
"wast3","EQ_DHS","PUBLISHED","2011","SEAR","BGD","","","URB","","","12.8 [10.8-15.1]","12.81420","10.79919","15.14136",""
"wast3","EQ_DHS","PUBLISHED","2014","SEAR","BGD","","","URB","","","12.6 [10.4-15.3]","12.64210","10.39498","15.29208",""
"wast3","EQ_DHS","PUBLISHED","1998","AMR","BOL","","","RUR","","","2.7 [2.1-3.6]","2.73134","2.05917","3.61482",""
"wast3","EQ_DHS","PUBLISHED","1998","AMR","BOL","","","URB","","","2.1 [1.5-2.9]","2.05251","1.46348","2.87172",""
"wast3","EQ_DHS","PUBLISHED","2008","AMR","BOL","","","URB","","","1.7 [1.2-2.4]","1.69001","1.16603","2.44362",""
"wast3","EQ_DHS","PUBLISHED","1994","AFR","CIV","","","URB","","","9.0 [7.4-10.9]","9.03134","7.43352","10.93206",""
"wast3","EQ_MICS","PUBLISHED","2006","AFR","CIV","","","URB","","","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","1998","AFR","CMR","","","URB","","","6.9 [4.5-10.5]","6.93138","4.52818","10.47013",""
"wast3","EQ_DHS","PUBLISHED","2013","AFR","COD","","","URB","","","6.2 [4.9-7.8]","6.19754","4.91615","7.78557",""
"wast3","EQ_DHS","PUBLISHED","2011","AFR","COG","","","URB","","","7.1 [5.3-9.4]","7.11348","5.34149","9.41485",""
"wast3","EQ_DHS","PUBLISHED","2000","AMR","COL","","","URB","","","1.4 [0.9-2.2]","1.42060","0.92822","2.16845",""
"wast3","EQ_RHS","PUBLISHED","1992","AMR","CRI","","","URB","","","No data","","","","Not available."
"wast3","EQ_MICS","PUBLISHED","2006","AMR","CUB","","","URB","","","No data","","","","Not available."
"wast3","EQ_MICS","PUBLISHED","2014","AMR","CUB","","","RUR","","","No data","","","","Not available."
"wast3","EQ_DHS","PUBLISHED","2007","AMR","DOM","","","URB","","","2.7 [1.9-3.8]","2.70273","1.90515","3.82120",""
